time,pr
1950-01-01,4.824
1950-01-02,3.836
1950-01-03,10.916
1950-01-04,8.315
1950-01-05,8.712
1950-01-06,3.405
1950-01-07,2.228
1950-01-08,5.126
1950-01-09,5.443
1950-01-10,4.814
1950-01-11,0.434
1950-01-12,0.377
1950-01-13,1.101
1950-01-14,4.9
1950-01-15,2.118
1950-01-16,2.084
1950-01-17,13.061
1950-01-18,2.877
1950-01-19,1.38
1950-01-20,1.87
1950-01-21,1.105
1950-01-22,1.119
1950-01-23,0.676
1950-01-24,0.155
1950-01-25,0.0
1950-01-26,0.024
1950-01-27,0.537
1950-01-28,1.321
1950-01-29,0.511
1950-01-30,0.37
1950-01-31,0.356
1950-02-01,0.216
1950-02-02,0.469
1950-02-03,3.618
1950-02-04,19.435
1950-02-05,10.589
1950-02-06,7.579
1950-02-07,0.422
1950-02-08,0.931
1950-02-09,5.164
1950-02-10,1.589
1950-02-11,12.401
1950-02-12,3.594
1950-02-13,3.378
1950-02-14,2.874
1950-02-15,2.2
1950-02-16,6.349
1950-02-17,1.945
1950-02-18,5.166
1950-02-19,8.553
1950-02-20,1.387
1950-02-21,6.405
1950-02-22,7.577
1950-02-23,1.662
1950-02-24,3.718
1950-02-25,7.517
1950-02-26,4.741
1950-02-27,6.901
1950-02-28,0.827
1950-03-01,1.4
1950-03-02,0.237
1950-03-03,3.424
1950-03-04,0.401
1950-03-05,0.174
1950-03-06,0.192
1950-03-07,6.385
1950-03-08,1.008
1950-03-09,0.701
1950-03-10,3.024
1950-03-11,0.701
1950-03-12,0.017
1950-03-13,0.049
1950-03-14,0.017
1950-03-15,0.02
1950-03-16,0.073
1950-03-17,0.003
1950-03-18,0.001
1950-03-19,5.399
1950-03-20,3.107
1950-03-21,6.03
1950-03-22,2.775
1950-03-23,1.021
1950-03-24,3.27
1950-03-25,4.854
1950-03-26,0.373
1950-03-27,0.665
1950-03-28,0.359
1950-03-29,1.003
1950-03-30,0.845
1950-03-31,0.582
1950-04-01,0.125
1950-04-02,0.034
1950-04-03,0.531
1950-04-04,0.462
1950-04-05,0.125
1950-04-06,0.357
1950-04-07,0.043
1950-04-08,0.058
1950-04-09,0.819
1950-04-10,2.667
1950-04-11,2.623
1950-04-12,5.01
1950-04-13,6.711
1950-04-14,3.393
1950-04-15,5.052
1950-04-16,4.54
1950-04-17,1.826
1950-04-18,1.479
1950-04-19,0.595
1950-04-20,1.611
1950-04-21,2.917
1950-04-22,0.526
1950-04-23,0.859
1950-04-24,1.147
1950-04-25,0.97
1950-04-26,0.292
1950-04-27,0.169
1950-04-28,1.152
1950-04-29,0.52
