time,tasmax
2015-01-01,7.18
2015-01-02,7.32
2015-01-03,6.72
2015-01-04,9.15
2015-01-05,9.42
2015-01-06,8.06
2015-01-07,1.47
2015-01-08,-0.1
2015-01-09,1.37
2015-01-10,5.22
2015-01-11,9.77
2015-01-12,9.87
2015-01-13,9.14
2015-01-14,6.28
2015-01-15,6.9
2015-01-16,7.69
2015-01-17,8.04
2015-01-18,6.66
2015-01-19,7.49
2015-01-20,8.75
2015-01-21,9.81
2015-01-22,9.03
2015-01-23,5.84
2015-01-24,-0.27
2015-01-25,1.01
2015-01-26,2.94
2015-01-27,4.51
2015-01-28,10.41
2015-01-29,7.14
2015-01-30,7.68
2015-01-31,6.56
2015-02-01,7.01
2015-02-02,5.64
2015-02-03,2.25
2015-02-04,1.07
2015-02-05,1.95
2015-02-06,5.24
2015-02-07,4.32
2015-02-08,2.78
2015-02-09,2.68
2015-02-10,2.92
2015-02-11,4.2
2015-02-12,5.77
2015-02-13,7.3
2015-02-14,4.68
2015-02-15,1.68
2015-02-16,3.04
2015-02-17,3.39
2015-02-18,3.23
2015-02-19,2.4
2015-02-20,5.89
2015-02-21,9.12
2015-02-22,8.67
2015-02-23,12.24
2015-02-24,11.64
2015-02-25,11.27
2015-02-26,8.64
2015-02-27,5.6
2015-02-28,-2.45
2015-03-01,-2.23
2015-03-02,0.81
2015-03-03,9.43
2015-03-04,9.55
2015-03-05,17.95
2015-03-06,14.1
2015-03-07,10.17
2015-03-08,16.08
2015-03-09,14.34
2015-03-10,9.69
2015-03-11,2.68
2015-03-12,5.08
2015-03-13,6.78
2015-03-14,9.06
2015-03-15,7.33
2015-03-16,1.54
2015-03-17,6.29
2015-03-18,11.21
2015-03-19,11.36
2015-03-20,14.41
2015-03-21,11.4
2015-03-22,13.55
2015-03-23,13.11
2015-03-24,13.98
2015-03-25,14.22
2015-03-26,14.11
2015-03-27,16.46
2015-03-28,14.82
2015-03-29,12.3
2015-03-30,10.84
2015-03-31,8.7
2015-04-01,7.38
2015-04-02,8.94
2015-04-03,12.47
2015-04-04,17.62
2015-04-05,18.62
2015-04-06,14.37
2015-04-07,12.38
2015-04-08,12.02
2015-04-09,14.12
2015-04-10,12.53
2015-04-11,9.02
2015-04-12,9.73
2015-04-13,9.98
2015-04-14,10.34
2015-04-15,9.19
2015-04-16,10.56
2015-04-17,13.67
2015-04-18,16.72
2015-04-19,20.02
2015-04-20,17.43
2015-04-21,19.94
2015-04-22,24.01
2015-04-23,24.38
2015-04-24,21.49
2015-04-25,21.14
2015-04-26,15.87
2015-04-27,15.45
2015-04-28,13.26
2015-04-29,12.21
2015-04-30,10.99
2015-05-01,12.88
2015-05-02,14.29
2015-05-03,14.08
2015-05-04,12.47
2015-05-05,11.19
2015-05-06,11.53
2015-05-07,12.56
2015-05-08,8.64
2015-05-09,12.87
2015-05-10,14.47
2015-05-11,15.01
2015-05-12,16.2
2015-05-13,17.5
2015-05-14,18.29
2015-05-15,13.47
2015-05-16,19.85
2015-05-17,17.72
2015-05-18,14.72
2015-05-19,16.89
2015-05-20,21.11
2015-05-21,24.93
2015-05-22,18.67
2015-05-23,24.72
2015-05-24,18.08
2015-05-25,17.59
2015-05-26,16.55
2015-05-27,14.97
2015-05-28,12.51
2015-05-29,13.23
2015-05-30,15.41
2015-05-31,14.1
2015-06-01,14.92
2015-06-02,13.33
2015-06-03,15.44
2015-06-04,17.22
2015-06-05,18.83
2015-06-06,21.2
2015-06-07,20.82
2015-06-08,25.36
2015-06-09,28.04
2015-06-10,20.67
2015-06-11,19.54
2015-06-12,18.09
2015-06-13,16.08
2015-06-14,13.16
2015-06-15,15.52
2015-06-16,16.94
2015-06-17,15.36
2015-06-18,15.89
2015-06-19,13.86
2015-06-20,14.87
2015-06-21,16.16
2015-06-22,20.19
2015-06-23,22.26
2015-06-24,26.37
2015-06-25,18.91
2015-06-26,21.42
2015-06-27,24.3
2015-06-28,24.84
2015-06-29,22.82
2015-06-30,22.29
2015-07-01,21.33
2015-07-02,22.11
2015-07-03,22.48
2015-07-04,25.08
2015-07-05,19.66
2015-07-06,21.74
2015-07-07,27.84
2015-07-08,25.33
2015-07-09,24.46
2015-07-10,26.54
2015-07-11,28.93
2015-07-12,32.81
2015-07-13,27.35
2015-07-14,20.26
2015-07-15,20.85
2015-07-16,22.7
2015-07-17,25.7
2015-07-18,29.21
2015-07-19,21.43
2015-07-20,22.09
2015-07-21,23.58
2015-07-22,24.31
2015-07-23,26.78
2015-07-24,23.14
2015-07-25,21.68
2015-07-26,22.81
2015-07-27,24.53
2015-07-28,19.72
2015-07-29,19.92
2015-07-30,19.48
2015-07-31,21.21
2015-08-01,23.71
2015-08-02,21.09
2015-08-03,18.54
2015-08-04,19.85
2015-08-05,20.86
2015-08-06,22.43
2015-08-07,23.91
2015-08-08,23.96
2015-08-09,20.88
2015-08-10,21.34
2015-08-11,22.58
2015-08-12,23.86
2015-08-13,24.34
2015-08-14,24.52
2015-08-15,26.5
2015-08-16,27.45
2015-08-17,27.76
2015-08-18,21.11
2015-08-19,21.05
2015-08-20,22.36
2015-08-21,23.57
2015-08-22,18.82
2015-08-23,19.44
2015-08-24,17.23
2015-08-25,18.42
2015-08-26,21.27
2015-08-27,24.38
2015-08-28,23.06
2015-08-29,21.55
2015-08-30,25.25
2015-08-31,26.62
2015-09-01,26.61
2015-09-02,22.49
2015-09-03,22.3
2015-09-04,23.82
2015-09-05,21.48
2015-09-06,18.55
2015-09-07,20.01
2015-09-08,19.66
2015-09-09,21.48
2015-09-10,20.12
2015-09-11,23.93
2015-09-12,27.48
2015-09-13,21.4
2015-09-14,20.12
2015-09-15,20.73
2015-09-16,20.6
2015-09-17,21.3
2015-09-18,20.66
2015-09-19,18.71
2015-09-20,16.91
2015-09-21,16.95
2015-09-22,21.52
2015-09-23,24.76
2015-09-24,22.81
2015-09-25,20.14
