time,tasmax
2015-01-01,7.2
2015-01-02,8.95
2015-01-03,9.67
2015-01-04,10.95
2015-01-05,10.41
2015-01-06,11.75
2015-01-07,11.3
2015-01-08,13.11
2015-01-09,13.01
2015-01-10,11.56
2015-01-11,8.87
2015-01-12,9.74
2015-01-13,9.82
2015-01-14,9.53
2015-01-15,13.64
2015-01-16,14.97
2015-01-17,15.01
2015-01-18,11.86
2015-01-19,8.8
2015-01-20,10.22
2015-01-21,12.51
2015-01-22,11.97
2015-01-23,9.78
2015-01-24,10.97
2015-01-25,12.49
2015-01-26,12.3
2015-01-27,11.61
2015-01-28,12.27
2015-01-29,14.4
2015-01-30,13.51
2015-01-31,11.32
2015-02-01,12.44
2015-02-02,12.59
2015-02-03,11.97
2015-02-04,12.2
2015-02-05,13.1
2015-02-06,13.81
2015-02-07,15.24
2015-02-08,15.6
2015-02-09,15.97
2015-02-10,15.71
2015-02-11,14.69
2015-02-12,13.96
2015-02-13,11.19
2015-02-14,10.1
2015-02-15,11.42
2015-02-16,11.65
2015-02-17,12.4
2015-02-18,12.18
2015-02-19,11.16
2015-02-20,12.82
2015-02-21,14.35
2015-02-22,11.35
2015-02-23,10.15
2015-02-24,9.56
2015-02-25,13.36
2015-02-26,13.89
2015-02-27,7.17
2015-02-28,6.48
2015-03-01,6.03
2015-03-02,8.64
2015-03-03,9.59
2015-03-04,9.02
2015-03-05,9.54
2015-03-06,9.54
2015-03-07,9.14
2015-03-08,8.57
2015-03-09,8.91
2015-03-10,9.46
2015-03-11,8.5
2015-03-12,8.63
2015-03-13,10.51
2015-03-14,11.93
2015-03-15,14.77
2015-03-16,14.85
2015-03-17,9.43
2015-03-18,11.68
2015-03-19,10.89
2015-03-20,13.72
2015-03-21,13.65
2015-03-22,12.32
2015-03-23,15.05
2015-03-24,15.52
2015-03-25,16.93
2015-03-26,21.32
2015-03-27,23.9
2015-03-28,18.66
2015-03-29,22.5
2015-03-30,25.02
2015-03-31,24.37
2015-04-01,18.82
2015-04-02,14.24
2015-04-03,19.25
2015-04-04,20.55
2015-04-05,19.76
2015-04-06,20.67
2015-04-07,20.56
2015-04-08,18.58
2015-04-09,21.59
2015-04-10,19.13
2015-04-11,15.67
2015-04-12,19.16
2015-04-13,19.45
2015-04-14,20.38
2015-04-15,21.59
2015-04-16,21.61
2015-04-17,20.46
2015-04-18,17.57
2015-04-19,20.59
2015-04-20,22.68
2015-04-21,23.9
2015-04-22,24.65
2015-04-23,25.06
2015-04-24,22.3
2015-04-25,21.98
2015-04-26,21.72
2015-04-27,18.67
2015-04-28,18.75
2015-04-29,21.03
2015-04-30,21.66
2015-05-01,24.53
2015-05-02,24.17
2015-05-03,20.11
2015-05-04,20.44
2015-05-05,22.95
2015-05-06,23.61
2015-05-07,21.04
2015-05-08,22.92
2015-05-09,23.57
2015-05-10,20.61
2015-05-11,23.06
2015-05-12,18.92
2015-05-13,14.9
2015-05-14,14.83
2015-05-15,16.36
2015-05-16,22.29
2015-05-17,25.54
2015-05-18,22.31
2015-05-19,19.42
2015-05-20,20.11
2015-05-21,19.22
2015-05-22,20.46
2015-05-23,21.03
2015-05-24,22.65
2015-05-25,23.64
2015-05-26,25.83
2015-05-27,26.89
2015-05-28,24.31
2015-05-29,25.28
2015-05-30,26.72
2015-05-31,28.42
2015-06-01,26.04
2015-06-02,24.88
2015-06-03,22.31
2015-06-04,23.98
2015-06-05,27.53
2015-06-06,25.92
2015-06-07,24.96
2015-06-08,25.09
2015-06-09,17.99
2015-06-10,17.37
2015-06-11,19.56
2015-06-12,21.57
2015-06-13,22.17
2015-06-14,21.52
2015-06-15,16.43
2015-06-16,22.36
2015-06-17,24.95
2015-06-18,25.07
2015-06-19,23.3
2015-06-20,17.26
2015-06-21,24.16
2015-06-22,25.96
2015-06-23,29.92
2015-06-24,31.29
2015-06-25,31.86
2015-06-26,30.53
2015-06-27,31.39
2015-06-28,31.63
2015-06-29,28.73
2015-06-30,29.1
2015-07-01,32.7
2015-07-02,36.26
2015-07-03,34.43
2015-07-04,30.27
2015-07-05,28.34
2015-07-06,27.89
2015-07-07,30.67
2015-07-08,29.02
2015-07-09,30.19
2015-07-10,33.06
2015-07-11,33.56
2015-07-12,35.71
2015-07-13,34.54
2015-07-14,36.75
2015-07-15,37.0
2015-07-16,36.69
2015-07-17,32.6
2015-07-18,27.31
2015-07-19,26.84
2015-07-20,31.66
2015-07-21,31.79
2015-07-22,31.68
2015-07-23,31.54
2015-07-24,30.46
