time,tasmax
2015-01-01,10.85
2015-01-02,10.07
2015-01-03,10.69
2015-01-04,10.77
2015-01-05,9.5
2015-01-06,8.27
2015-01-07,8.19
2015-01-08,7.25
2015-01-09,3.85
2015-01-10,1.26
2015-01-11,2.04
2015-01-12,4.51
2015-01-13,7.06
2015-01-14,8.78
2015-01-15,8.08
2015-01-16,9.01
2015-01-17,10.59
2015-01-18,7.68
2015-01-19,2.56
2015-01-20,1.5
2015-01-21,2.65
2015-01-22,6.68
2015-01-23,8.27
2015-01-24,10.4
2015-01-25,7.22
2015-01-26,5.35
2015-01-27,5.62
2015-01-28,8.66
2015-01-29,6.26
2015-01-30,5.96
2015-01-31,9.07
2015-02-01,7.06
2015-02-02,6.93
2015-02-03,10.2
2015-02-04,12.13
2015-02-05,11.82
2015-02-06,12.21
2015-02-07,9.02
2015-02-08,12.13
2015-02-09,13.16
2015-02-10,10.85
2015-02-11,10.63
2015-02-12,12.77
2015-02-13,11.42
2015-02-14,10.13
2015-02-15,10.39
2015-02-16,14.92
2015-02-17,14.84
2015-02-18,15.87
2015-02-19,12.99
2015-02-20,11.65
2015-02-21,7.93
2015-02-22,10.0
2015-02-23,8.41
2015-02-24,7.64
2015-02-25,9.67
2015-02-26,10.37
2015-02-27,12.14
2015-02-28,9.45
2015-03-01,10.15
2015-03-02,10.58
2015-03-03,10.84
2015-03-04,11.76
2015-03-05,12.17
2015-03-06,12.36
2015-03-07,12.6
2015-03-08,14.63
2015-03-09,15.76
2015-03-10,15.87
2015-03-11,11.99
2015-03-12,12.87
2015-03-13,15.13
2015-03-14,12.79
2015-03-15,16.4
2015-03-16,20.74
2015-03-17,20.88
2015-03-18,21.99
2015-03-19,21.44
2015-03-20,17.53
2015-03-21,16.57
2015-03-22,15.65
2015-03-23,17.47
2015-03-24,17.31
2015-03-25,14.6
2015-03-26,16.47
2015-03-27,15.36
2015-03-28,15.75
2015-03-29,14.55
2015-03-30,18.11
2015-03-31,21.96
2015-04-01,19.0
2015-04-02,18.55
2015-04-03,15.67
2015-04-04,15.76
2015-04-05,14.41
2015-04-06,18.05
2015-04-07,19.48
2015-04-08,21.91
2015-04-09,22.84
2015-04-10,22.72
2015-04-11,23.31
2015-04-12,22.45
2015-04-13,20.63
2015-04-14,21.2
2015-04-15,22.04
2015-04-16,20.29
2015-04-17,24.09
2015-04-18,25.49
2015-04-19,21.39
2015-04-20,13.31
2015-04-21,11.67
2015-04-22,17.31
2015-04-23,17.26
2015-04-24,16.27
2015-04-25,17.9
2015-04-26,20.19
2015-04-27,15.94
2015-04-28,13.1
2015-04-29,13.04
2015-04-30,16.37
2015-05-01,16.76
2015-05-02,16.3
2015-05-03,15.45
2015-05-04,15.75
2015-05-05,16.94
2015-05-06,17.56
2015-05-07,19.31
2015-05-08,19.74
2015-05-09,19.01
2015-05-10,17.26
2015-05-11,16.79
2015-05-12,18.73
2015-05-13,16.44
2015-05-14,18.78
2015-05-15,18.0
2015-05-16,22.32
2015-05-17,21.54
2015-05-18,15.55
2015-05-19,15.95
2015-05-20,14.88
2015-05-21,15.17
2015-05-22,15.04
2015-05-23,17.0
2015-05-24,14.58
2015-05-25,15.89
2015-05-26,17.1
2015-05-27,21.07
2015-05-28,22.11
2015-05-29,23.59
2015-05-30,25.9
2015-05-31,20.92
2015-06-01,20.71
2015-06-02,23.07
2015-06-03,23.51
2015-06-04,21.75
2015-06-05,22.65
2015-06-06,24.84
2015-06-07,27.71
2015-06-08,27.62
2015-06-09,27.52
2015-06-10,26.74
2015-06-11,25.17
2015-06-12,25.36
2015-06-13,19.17
2015-06-14,18.15
2015-06-15,18.16
2015-06-16,20.19
2015-06-17,22.99
2015-06-18,26.52
2015-06-19,24.3
2015-06-20,26.31
2015-06-21,26.6
2015-06-22,27.37
2015-06-23,28.21
2015-06-24,28.13
2015-06-25,31.66
2015-06-26,33.78
2015-06-27,30.63
2015-06-28,34.94
2015-06-29,24.67
2015-06-30,24.11
2015-07-01,25.12
2015-07-02,27.93
2015-07-03,30.37
2015-07-04,33.89
2015-07-05,33.13
2015-07-06,34.1
2015-07-07,33.36
2015-07-08,30.97
2015-07-09,39.38
2015-07-10,39.38
2015-07-11,41.98
2015-07-12,42.4
2015-07-13,41.99
2015-07-14,41.21
2015-07-15,39.89
2015-07-16,36.03
2015-07-17,31.95
2015-07-18,32.24
