time,tasmax
2015-01-01,9.05
2015-01-02,7.42
2015-01-03,4.13
2015-01-04,4.24
2015-01-05,2.12
2015-01-06,4.31
2015-01-07,4.76
2015-01-08,5.18
2015-01-09,8.64
2015-01-10,9.96
2015-01-11,8.09
2015-01-12,8.19
2015-01-13,9.85
2015-01-14,9.83
2015-01-15,5.55
2015-01-16,4.68
2015-01-17,3.22
2015-01-18,10.12
2015-01-19,7.59
2015-01-20,6.86
2015-01-21,8.01
2015-01-22,11.95
2015-01-23,11.17
2015-01-24,12.56
2015-01-25,12.13
2015-01-26,12.38
2015-01-27,11.94
2015-01-28,12.14
2015-01-29,7.61
2015-01-30,3.11
2015-01-31,7.41
2015-02-01,8.47
2015-02-02,9.36
2015-02-03,8.14
2015-02-04,7.67
2015-02-05,5.88
2015-02-06,3.3
2015-02-07,5.27
2015-02-08,7.91
2015-02-09,10.91
2015-02-10,11.88
2015-02-11,12.3
2015-02-12,9.84
2015-02-13,9.52
2015-02-14,8.23
2015-02-15,6.82
2015-02-16,8.23
2015-02-17,11.19
2015-02-18,12.05
2015-02-19,10.22
2015-02-20,11.79
2015-02-21,10.55
2015-02-22,10.9
2015-02-23,8.03
2015-02-24,11.06
2015-02-25,10.36
2015-02-26,7.65
2015-02-27,6.96
2015-02-28,8.2
2015-03-01,5.78
2015-03-02,6.15
2015-03-03,7.5
2015-03-04,8.65
2015-03-05,4.64
2015-03-06,4.72
2015-03-07,6.04
2015-03-08,4.85
2015-03-09,5.12
2015-03-10,6.57
2015-03-11,4.38
2015-03-12,4.53
2015-03-13,5.06
2015-03-14,6.82
2015-03-15,9.01
2015-03-16,6.57
2015-03-17,3.47
2015-03-18,5.59
2015-03-19,8.62
2015-03-20,8.36
2015-03-21,10.04
2015-03-22,10.68
2015-03-23,15.64
2015-03-24,14.41
2015-03-25,9.57
2015-03-26,11.79
2015-03-27,10.33
2015-03-28,11.07
2015-03-29,15.91
2015-03-30,18.63
2015-03-31,21.53
2015-04-01,13.63
2015-04-02,10.67
2015-04-03,15.48
2015-04-04,11.7
2015-04-05,8.61
2015-04-06,7.56
2015-04-07,9.01
2015-04-08,11.57
2015-04-09,13.02
2015-04-10,19.12
2015-04-11,16.12
2015-04-12,10.4
2015-04-13,16.63
2015-04-14,16.77
2015-04-15,13.65
2015-04-16,12.11
2015-04-17,11.2
2015-04-18,16.82
2015-04-19,14.61
2015-04-20,17.55
2015-04-21,17.06
2015-04-22,17.38
2015-04-23,16.05
2015-04-24,18.08
2015-04-25,14.98
2015-04-26,14.02
2015-04-27,19.87
2015-04-28,20.4
2015-04-29,14.95
2015-04-30,13.06
2015-05-01,10.95
2015-05-02,11.69
2015-05-03,11.91
2015-05-04,12.32
2015-05-05,13.19
2015-05-06,9.27
2015-05-07,12.25
2015-05-08,15.99
2015-05-09,12.18
2015-05-10,21.49
2015-05-11,22.82
2015-05-12,19.9
2015-05-13,14.3
2015-05-14,13.0
2015-05-15,21.0
2015-05-16,16.33
2015-05-17,14.77
2015-05-18,11.39
2015-05-19,19.09
2015-05-20,15.98
2015-05-21,15.28
2015-05-22,16.89
2015-05-23,13.39
2015-05-24,9.85
2015-05-25,14.76
2015-05-26,11.71
2015-05-27,14.25
2015-05-28,15.14
2015-05-29,17.44
2015-05-30,15.42
2015-05-31,15.39
2015-06-01,17.99
2015-06-02,19.99
2015-06-03,18.63
2015-06-04,22.08
2015-06-05,25.38
2015-06-06,23.55
2015-06-07,24.99
2015-06-08,25.64
2015-06-09,26.76
2015-06-10,26.89
2015-06-11,24.97
2015-06-12,25.6
2015-06-13,25.5
2015-06-14,22.21
2015-06-15,24.25
2015-06-16,27.61
2015-06-17,23.85
2015-06-18,22.33
2015-06-19,26.22
2015-06-20,32.48
2015-06-21,32.7
2015-06-22,34.69
2015-06-23,32.37
2015-06-24,23.8
2015-06-25,19.51
2015-06-26,21.74
2015-06-27,27.57
2015-06-28,28.96
2015-06-29,24.58
2015-06-30,20.48
2015-07-01,22.03
2015-07-02,24.51
2015-07-03,22.52
2015-07-04,25.48
2015-07-05,29.38
2015-07-06,33.62
2015-07-07,33.62
2015-07-08,31.65
2015-07-09,28.62
2015-07-10,25.8
2015-07-11,26.03
2015-07-12,25.19
2015-07-13,26.14
2015-07-14,28.9
2015-07-15,31.77
2015-07-16,34.64
2015-07-17,31.99
2015-07-18,35.75
2015-07-19,35.91
2015-07-20,34.79
2015-07-21,34.84
2015-07-22,33.67
2015-07-23,33.26
2015-07-24,27.5
2015-07-25,22.63
2015-07-26,19.44
2015-07-27,21.54
2015-07-28,22.1
2015-07-29,19.99
2015-07-30,24.78
2015-07-31,27.99
2015-08-01,32.41
2015-08-02,31.09
2015-08-03,22.29
2015-08-04,23.88
2015-08-05,27.53
2015-08-06,28.1
2015-08-07,28.2
2015-08-08,27.47
2015-08-09,24.6
2015-08-10,20.95
2015-08-11,19.17
2015-08-12,24.51
2015-08-13,27.26
2015-08-14,26.47
2015-08-15,27.82
2015-08-16,26.41
2015-08-17,27.87
2015-08-18,27.12
2015-08-19,25.58
2015-08-20,26.28
2015-08-21,25.02
2015-08-22,25.4
2015-08-23,27.22
2015-08-24,28.03
2015-08-25,24.01
2015-08-26,23.31
2015-08-27,23.27
2015-08-28,22.13
2015-08-29,22.26
2015-08-30,21.72
2015-08-31,20.21
2015-09-01,19.31
2015-09-02,20.68
2015-09-03,20.26
2015-09-04,23.57
2015-09-05,27.46
2015-09-06,21.94
2015-09-07,19.09
2015-09-08,24.93
2015-09-09,28.73
2015-09-10,28.11
2015-09-11,21.75
2015-09-12,19.06
2015-09-13,19.85
2015-09-14,18.02
2015-09-15,19.77
2015-09-16,19.24
2015-09-17,19.53
2015-09-18,19.25
2015-09-19,20.33
2015-09-20,23.35
2015-09-21,23.63
2015-09-22,25.71
2015-09-23,20.18
2015-09-24,17.83
2015-09-25,15.14
2015-09-26,17.25
2015-09-27,17.28
2015-09-28,18.72
2015-09-29,18.07
2015-09-30,20.43
2015-10-01,20.77
2015-10-02,23.59
2015-10-03,25.19
2015-10-04,21.71
2015-10-05,13.4
2015-10-06,11.21
2015-10-07,11.47
2015-10-08,13.93
2015-10-09,14.0
2015-10-10,15.93
2015-10-11,16.71
2015-10-12,15.64
2015-10-13,19.48
2015-10-14,20.94
2015-10-15,19.77
2015-10-16,19.91
2015-10-17,17.1
2015-10-18,16.82
2015-10-19,14.68
2015-10-20,15.53
2015-10-21,16.25
2015-10-22,16.92
2015-10-23,17.8
2015-10-24,18.86
2015-10-25,15.95
2015-10-26,15.11
2015-10-27,11.5
2015-10-28,10.81
2015-10-29,10.38
2015-10-30,10.54
2015-10-31,12.42
2015-11-01,16.09
2015-11-02,15.34
2015-11-03,14.93
2015-11-04,11.48
2015-11-05,11.07
2015-11-06,15.04
2015-11-07,14.85
2015-11-08,17.16
2015-11-09,13.64
2015-11-10,11.91
2015-11-11,13.03
2015-11-12,14.6
2015-11-13,14.06
2015-11-14,13.34
2015-11-15,14.8
2015-11-16,12.38
2015-11-17,10.14
2015-11-18,11.29
2015-11-19,13.78
2015-11-20,12.96
2015-11-21,14.19
2015-11-22,11.86
2015-11-23,13.57
2015-11-24,12.18
2015-11-25,12.28
2015-11-26,13.64
2015-11-27,13.91
2015-11-28,11.41
2015-11-29,10.66
2015-11-30,11.16
2015-12-01,11.51
2015-12-02,14.19
