time,tasmax
2015-01-01,7.57
2015-01-02,8.18
2015-01-03,5.01
2015-01-04,4.38
2015-01-05,5.07
2015-01-06,5.1
2015-01-07,7.0
2015-01-08,7.76
2015-01-09,11.19
2015-01-10,11.15
2015-01-11,9.55
2015-01-12,8.68
2015-01-13,10.81
2015-01-14,9.57
2015-01-15,9.24
2015-01-16,8.8
2015-01-17,12.26
2015-01-18,13.44
2015-01-19,12.01
2015-01-20,2.62
2015-01-21,1.69
2015-01-22,1.56
2015-01-23,4.57
2015-01-24,8.73
2015-01-25,9.3
2015-01-26,10.38
2015-01-27,10.94
2015-01-28,10.39
2015-01-29,9.05
2015-01-30,10.3
2015-02-01,7.67
2015-02-02,8.57
2015-02-03,9.91
2015-02-04,9.38
2015-02-05,6.2
2015-02-06,10.77
2015-02-07,11.68
2015-02-08,8.41
2015-02-09,2.25
2015-02-10,4.41
2015-02-11,6.32
2015-02-12,7.8
2015-02-13,11.52
2015-02-14,13.91
2015-02-15,15.39
2015-02-16,12.79
2015-02-17,13.05
2015-02-18,13.38
2015-02-19,13.79
2015-02-20,12.01
2015-02-21,11.88
2015-02-22,12.5
2015-02-23,11.6
2015-02-24,10.5
2015-02-25,12.34
2015-02-26,14.05
2015-02-27,12.82
2015-02-28,12.33
2015-02-29,13.46
2015-02-30,13.62
2015-03-01,9.97
2015-03-02,10.05
2015-03-03,7.27
2015-03-04,8.7
2015-03-05,8.53
2015-03-06,7.23
2015-03-07,5.72
2015-03-08,5.72
2015-03-09,5.22
2015-03-10,5.81
2015-03-11,8.1
2015-03-12,9.27
2015-03-13,9.92
2015-03-14,3.32
2015-03-15,4.26
2015-03-16,10.04
2015-03-17,10.78
2015-03-18,8.59
2015-03-19,8.06
2015-03-20,6.64
2015-03-21,5.72
2015-03-22,6.89
2015-03-23,6.68
2015-03-24,10.31
2015-03-25,8.8
2015-03-26,10.58
2015-03-27,11.06
2015-03-28,9.64
2015-03-29,10.7
2015-03-30,12.01
2015-04-01,14.11
2015-04-02,19.35
2015-04-03,21.95
2015-04-04,23.14
2015-04-05,23.25
2015-04-06,16.44
2015-04-07,13.05
2015-04-08,10.21
2015-04-09,10.12
2015-04-10,11.47
2015-04-11,13.64
2015-04-12,13.94
2015-04-13,15.01
2015-04-14,16.09
2015-04-15,21.41
2015-04-16,18.1
2015-04-17,17.25
2015-04-18,17.43
2015-04-19,16.17
2015-04-20,11.95
2015-04-21,14.26
2015-04-22,16.59
2015-04-23,22.75
2015-04-24,16.61
2015-04-25,17.1
2015-04-26,13.73
2015-04-27,14.16
2015-04-28,16.66
2015-04-29,16.31
2015-04-30,14.33
2015-05-01,12.25
2015-05-02,17.26
2015-05-03,21.49
2015-05-04,21.97
2015-05-05,18.9
2015-05-06,18.61
2015-05-07,13.44
2015-05-08,10.18
2015-05-09,12.46
2015-05-10,13.11
2015-05-11,15.14
2015-05-12,17.55
2015-05-13,18.39
2015-05-14,18.31
2015-05-15,14.97
2015-05-16,20.73
2015-05-17,24.76
2015-05-18,25.0
2015-05-19,26.36
2015-05-20,26.38
2015-05-21,27.16
2015-05-22,25.26
2015-05-23,17.55
2015-05-24,16.46
2015-05-25,21.46
2015-05-26,25.37
2015-05-27,26.19
2015-05-28,26.64
2015-05-29,28.56
2015-05-30,31.87
2015-06-01,34.37
2015-06-02,35.67
2015-06-03,34.72
2015-06-04,35.73
2015-06-05,35.58
2015-06-06,33.63
2015-06-07,30.27
2015-06-08,27.62
2015-06-09,25.15
2015-06-10,22.94
2015-06-11,26.39
2015-06-12,26.78
2015-06-13,23.92
2015-06-14,26.15
2015-06-15,21.48
2015-06-16,25.33
2015-06-17,26.56
2015-06-18,28.63
2015-06-19,28.81
2015-06-20,27.33
2015-06-21,31.65
2015-06-22,33.07
2015-06-23,25.09
2015-06-24,24.76
2015-06-25,30.49
2015-06-26,36.0
2015-06-27,24.86
2015-06-28,29.48
2015-06-29,27.65
2015-06-30,31.62
2015-07-01,37.0
2015-07-02,38.81
2015-07-03,40.26
2015-07-04,40.05
2015-07-05,40.77
2015-07-06,37.33
2015-07-07,31.18
2015-07-08,27.79
2015-07-09,26.14
2015-07-10,26.39
2015-07-11,26.38
2015-07-12,27.51
2015-07-13,28.9
2015-07-14,31.69
2015-07-15,35.05
2015-07-16,33.61
2015-07-17,39.1
2015-07-18,33.47
2015-07-19,32.34
2015-07-20,29.5
2015-07-21,31.81
2015-07-22,35.77
2015-07-23,33.89
2015-07-24,34.75
2015-07-25,40.05
2015-07-26,38.83
2015-07-27,34.75
2015-07-28,36.05
2015-07-29,37.11
2015-07-30,31.44
2015-08-01,29.12
2015-08-02,33.95
2015-08-03,37.86
2015-08-04,30.27
2015-08-05,30.53
2015-08-06,34.87
2015-08-07,36.29
2015-08-08,39.11
2015-08-09,40.99
2015-08-10,30.03
2015-08-11,30.63
2015-08-12,33.3
2015-08-13,34.64
2015-08-14,35.4
2015-08-15,35.08
2015-08-16,30.56
2015-08-17,29.96
2015-08-18,33.47
2015-08-19,35.39
2015-08-20,26.03
2015-08-21,25.59
2015-08-22,32.86
2015-08-23,29.17
2015-08-24,30.35
2015-08-25,33.28
2015-08-26,39.09
2015-08-27,42.48
2015-08-28,40.72
2015-08-29,28.69
2015-08-30,27.78
2015-09-01,27.05
2015-09-02,30.15
2015-09-03,34.11
2015-09-04,27.13
2015-09-05,26.39
2015-09-06,29.3
2015-09-07,34.95
2015-09-08,36.88
2015-09-09,35.66
2015-09-10,33.99
2015-09-11,34.28
2015-09-12,27.93
2015-09-13,25.31
2015-09-14,21.47
2015-09-15,22.45
2015-09-16,24.78
2015-09-17,25.41
2015-09-18,30.32
2015-09-19,25.35
2015-09-20,24.23
2015-09-21,22.3
2015-09-22,20.04
2015-09-23,21.04
2015-09-24,23.19
2015-09-25,24.74
2015-09-26,25.98
2015-09-27,31.29
2015-09-28,29.11
2015-09-29,28.55
2015-09-30,27.54
2015-10-01,25.03
2015-10-02,22.47
2015-10-03,24.17
2015-10-04,26.02
2015-10-05,16.48
2015-10-06,16.18
2015-10-07,19.78
2015-10-08,17.76
2015-10-09,17.39
2015-10-10,18.75
2015-10-11,19.71
2015-10-12,20.96
2015-10-13,20.31
2015-10-14,19.45
2015-10-15,17.49
2015-10-16,13.57
2015-10-17,9.52
2015-10-18,9.9
2015-10-19,12.85
2015-10-20,10.59
2015-10-21,12.83
2015-10-22,14.21
2015-10-23,16.97
2015-10-24,21.55
2015-10-25,19.91
2015-10-26,15.19
2015-10-27,16.74
2015-10-28,16.78
2015-10-29,20.14
2015-10-30,19.35
2015-11-01,18.2
