time,tasmax
2015-01-01,14.23
2015-01-02,15.06
2015-01-03,12.0
2015-01-04,10.7
2015-01-05,4.92
2015-01-06,5.05
2015-01-07,6.07
2015-01-08,6.5
2015-01-09,13.42
2015-01-10,7.88
2015-01-11,4.29
2015-01-12,1.62
2015-01-13,-0.18
2015-01-14,-0.15
2015-01-15,1.3
2015-01-16,3.42
2015-01-17,4.43
2015-01-18,5.02
2015-01-19,6.54
2015-01-20,10.45
2015-01-21,11.33
2015-01-22,12.04
2015-01-23,12.01
2015-01-24,12.55
2015-01-25,11.56
2015-01-26,13.04
2015-01-27,10.07
2015-01-28,10.13
2015-01-29,9.6
2015-01-30,9.97
2015-01-31,9.34
2015-02-01,12.4
2015-02-02,13.14
2015-02-03,14.25
2015-02-04,11.31
2015-02-05,8.74
2015-02-06,9.73
2015-02-07,12.54
2015-02-08,12.7
2015-02-09,13.23
2015-02-10,13.14
2015-02-11,13.01
2015-02-12,13.47
2015-02-13,15.55
2015-02-14,10.82
2015-02-15,11.53
2015-02-16,12.94
2015-02-17,12.62
2015-02-18,13.57
2015-02-19,13.19
2015-02-20,15.66
2015-02-21,15.2
2015-02-22,12.77
2015-02-23,14.48
2015-02-24,14.07
2015-02-25,14.27
2015-02-26,16.02
2015-02-27,17.26
2015-02-28,18.7
2015-03-01,18.93
2015-03-02,18.17
2015-03-03,15.35
2015-03-04,17.02
2015-03-05,17.69
2015-03-06,16.87
2015-03-07,14.34
2015-03-08,9.26
2015-03-09,10.18
2015-03-10,9.78
2015-03-11,12.59
2015-03-12,14.16
2015-03-13,11.52
2015-03-14,12.27
2015-03-15,11.24
2015-03-16,12.79
2015-03-17,13.19
2015-03-18,17.39
2015-03-19,18.27
2015-03-20,17.95
2015-03-21,18.49
2015-03-22,14.72
2015-03-23,18.05
2015-03-24,17.58
2015-03-25,18.39
2015-03-26,18.11
2015-03-27,16.36
2015-03-28,14.34
2015-03-29,15.09
2015-03-30,19.98
2015-03-31,24.24
2015-04-01,18.16
2015-04-02,21.38
2015-04-03,24.65
2015-04-04,24.24
2015-04-05,21.5
2015-04-06,23.49
2015-04-07,18.6
2015-04-08,22.88
2015-04-09,25.24
2015-04-10,18.25
2015-04-11,20.63
2015-04-12,20.55
2015-04-13,15.49
2015-04-14,14.84
2015-04-15,17.78
2015-04-16,13.73
2015-04-17,16.48
2015-04-18,19.45
2015-04-19,12.93
2015-04-20,14.45
2015-04-21,14.71
2015-04-22,20.28
2015-04-23,14.97
2015-04-24,10.73
2015-04-25,9.94
2015-04-26,10.51
2015-04-27,12.56
2015-04-28,16.72
2015-04-29,16.67
2015-04-30,16.64
2015-05-01,19.75
2015-05-02,20.55
2015-05-03,23.5
2015-05-04,23.82
2015-05-05,19.81
2015-05-06,18.82
2015-05-07,18.27
2015-05-08,20.55
2015-05-09,21.65
2015-05-10,22.14
2015-05-11,16.92
2015-05-12,16.33
2015-05-13,22.36
2015-05-14,17.22
2015-05-15,14.87
2015-05-16,19.31
2015-05-17,19.38
2015-05-18,17.09
2015-05-19,19.91
2015-05-20,20.31
2015-05-21,21.98
2015-05-22,23.42
2015-05-23,23.73
2015-05-24,25.68
2015-05-25,26.69
2015-05-26,31.16
2015-05-27,29.7
2015-05-28,25.15
2015-05-29,31.6
2015-05-30,30.86
2015-05-31,26.32
2015-06-01,28.81
2015-06-02,20.02
2015-06-03,19.61
2015-06-04,23.46
2015-06-05,24.77
2015-06-06,23.24
2015-06-07,27.23
2015-06-08,29.91
2015-06-09,24.13
2015-06-10,27.01
2015-06-11,28.02
2015-06-12,21.59
2015-06-13,21.06
2015-06-14,25.5
2015-06-15,20.99
2015-06-16,15.71
2015-06-17,19.13
2015-06-18,19.64
2015-06-19,16.93
2015-06-20,15.66
2015-06-21,18.34
2015-06-22,19.54
2015-06-23,30.16
2015-06-24,30.78
2015-06-25,26.84
2015-06-26,21.37
2015-06-27,20.12
2015-06-28,23.05
2015-06-29,28.3
2015-06-30,23.79
2015-07-01,22.54
2015-07-02,22.43
2015-07-03,21.78
2015-07-04,22.69
2015-07-05,28.7
2015-07-06,33.28
2015-07-07,33.71
2015-07-08,30.22
2015-07-09,30.36
2015-07-10,33.16
2015-07-11,28.21
2015-07-12,28.7
2015-07-13,30.42
2015-07-14,28.27
2015-07-15,30.33
2015-07-16,34.55
2015-07-17,35.86
2015-07-18,35.46
2015-07-19,37.26
2015-07-20,40.19
2015-07-21,36.49
2015-07-22,29.04
2015-07-23,29.21
2015-07-24,30.29
2015-07-25,26.85
2015-07-26,26.73
2015-07-27,31.45
2015-07-28,31.13
2015-07-29,24.46
2015-07-30,30.28
2015-07-31,29.58
2015-08-01,26.89
2015-08-02,24.06
2015-08-03,26.95
2015-08-04,29.23
2015-08-05,27.11
2015-08-06,26.82
2015-08-07,26.02
2015-08-08,24.79
2015-08-09,23.94
2015-08-10,24.47
2015-08-11,30.84
2015-08-12,28.38
2015-08-13,31.87
2015-08-14,33.83
2015-08-15,28.83
2015-08-16,28.48
2015-08-17,34.19
2015-08-18,36.58
2015-08-19,24.34
2015-08-20,30.43
2015-08-21,28.5
2015-08-22,29.74
2015-08-23,33.39
2015-08-24,28.93
2015-08-25,21.08
2015-08-26,25.19
