time,tasmax
2015-01-01,8.83
2015-01-02,7.66
2015-01-03,9.09
2015-01-04,8.87
2015-01-05,6.19
2015-01-06,4.87
2015-01-07,8.03
2015-01-08,9.56
2015-01-09,9.96
2015-01-10,9.97
2015-01-11,11.74
2015-01-12,9.84
2015-01-13,10.06
2015-01-14,11.56
2015-01-15,10.41
2015-01-16,6.66
2015-01-17,3.35
2015-01-18,2.03
2015-01-19,10.32
2015-01-20,10.64
2015-01-21,6.01
2015-01-22,2.09
2015-01-23,2.69
2015-01-24,3.79
2015-01-25,3.13
2015-01-26,7.19
2015-01-27,9.88
2015-01-28,8.53
2015-01-29,10.38
2015-01-30,11.61
2015-01-31,8.7
2015-02-01,5.92
2015-02-02,7.4
2015-02-03,4.93
2015-02-04,4.71
2015-02-05,4.63
2015-02-06,6.63
2015-02-07,5.78
2015-02-08,6.17
2015-02-09,4.13
2015-02-10,6.73
2015-02-11,8.56
2015-02-12,8.22
2015-02-13,12.32
2015-02-14,11.42
2015-02-15,10.91
2015-02-16,11.72
2015-02-17,10.28
2015-02-18,11.01
2015-02-19,10.94
2015-02-20,8.24
2015-02-21,3.99
2015-02-22,4.21
2015-02-23,8.83
2015-02-24,10.4
2015-02-25,8.04
2015-02-26,9.05
2015-02-27,7.75
2015-02-28,5.75
2015-03-01,5.85
2015-03-02,11.6
2015-03-03,12.25
2015-03-04,10.42
2015-03-05,11.31
2015-03-06,14.64
2015-03-07,14.72
2015-03-08,12.43
2015-03-09,10.54
2015-03-10,9.42
2015-03-11,8.02
2015-03-12,9.15
2015-03-13,9.5
2015-03-14,7.77
2015-03-15,8.71
2015-03-16,7.9
2015-03-17,5.27
2015-03-18,5.75
2015-03-19,5.99
2015-03-20,10.09
2015-03-21,8.75
2015-03-22,9.22
2015-03-23,8.1
2015-03-24,7.02
2015-03-25,8.73
2015-03-26,10.98
2015-03-27,12.83
2015-03-28,12.83
2015-03-29,8.39
2015-03-30,6.36
2015-03-31,6.47
2015-04-01,6.1
2015-04-02,9.59
2015-04-03,9.55
2015-04-04,10.0
2015-04-05,10.79
2015-04-06,14.85
2015-04-07,13.71
2015-04-08,10.68
2015-04-09,12.83
2015-04-10,11.13
2015-04-11,10.51
2015-04-12,11.46
2015-04-13,12.28
2015-04-14,10.97
2015-04-15,12.9
2015-04-16,9.46
2015-04-17,9.29
2015-04-18,9.55
2015-04-19,12.14
2015-04-20,10.46
2015-04-21,10.48
2015-04-22,9.27
2015-04-23,9.48
2015-04-24,13.31
2015-04-25,15.7
2015-04-26,15.07
2015-04-27,11.7
2015-04-28,10.15
2015-04-29,11.02
2015-04-30,14.29
2015-05-01,14.55
2015-05-02,14.21
2015-05-03,13.46
2015-05-04,15.15
2015-05-05,14.39
2015-05-06,12.67
2015-05-07,13.29
2015-05-08,12.21
2015-05-09,13.96
2015-05-10,15.45
2015-05-11,19.37
2015-05-12,14.45
2015-05-13,12.37
2015-05-14,11.11
2015-05-15,11.18
2015-05-16,11.47
2015-05-17,10.78
2015-05-18,12.98
2015-05-19,12.36
2015-05-20,12.67
2015-05-21,13.82
2015-05-22,12.42
2015-05-23,13.27
2015-05-24,13.2
2015-05-25,13.43
2015-05-26,13.9
2015-05-27,16.82
2015-05-28,19.03
2015-05-29,19.48
2015-05-30,16.9
2015-05-31,14.22
2015-06-01,15.26
2015-06-02,14.18
2015-06-03,14.65
2015-06-04,13.99
2015-06-05,18.41
2015-06-06,25.19
2015-06-07,22.06
2015-06-08,16.85
2015-06-09,16.82
2015-06-10,17.0
2015-06-11,18.69
2015-06-12,18.54
2015-06-13,15.29
2015-06-14,16.26
2015-06-15,17.58
2015-06-16,21.62
2015-06-17,24.17
2015-06-18,25.64
2015-06-19,27.48
2015-06-20,27.45
2015-06-21,25.9
2015-06-22,28.91
2015-06-23,27.87
2015-06-24,23.36
2015-06-25,17.19
2015-06-26,16.45
2015-06-27,18.61
2015-06-28,18.67
2015-06-29,17.15
2015-06-30,21.72
2015-07-01,27.04
2015-07-02,29.49
2015-07-03,26.27
2015-07-04,24.75
2015-07-05,23.7
2015-07-06,23.14
2015-07-07,24.34
2015-07-08,24.69
2015-07-09,21.82
2015-07-10,18.56
2015-07-11,20.51
2015-07-12,21.52
2015-07-13,22.21
2015-07-14,24.66
2015-07-15,24.9
2015-07-16,27.27
2015-07-17,27.92
2015-07-18,25.67
2015-07-19,23.7
2015-07-20,24.2
2015-07-21,25.51
2015-07-22,27.22
2015-07-23,21.42
2015-07-24,17.75
2015-07-25,21.13
2015-07-26,22.01
2015-07-27,23.77
2015-07-28,22.67
2015-07-29,19.11
2015-07-30,20.74
2015-07-31,20.57
2015-08-01,18.2
2015-08-02,18.96
2015-08-03,19.4
2015-08-04,22.14
2015-08-05,24.61
2015-08-06,26.15
2015-08-07,23.49
2015-08-08,22.44
2015-08-09,22.46
2015-08-10,24.7
2015-08-11,27.36
2015-08-12,28.57
2015-08-13,28.37
2015-08-14,21.38
2015-08-15,19.78
2015-08-16,18.15
2015-08-17,18.54
2015-08-18,22.63
2015-08-19,22.12
2015-08-20,19.58
2015-08-21,18.7
2015-08-22,18.54
2015-08-23,19.88
2015-08-24,18.3
2015-08-25,18.15
2015-08-26,16.99
2015-08-27,17.89
2015-08-28,17.14
2015-08-29,23.1
2015-08-30,22.43
2015-08-31,25.67
2015-09-01,26.88
2015-09-02,28.33
