time,tasmax
2015-01-01,10.98
2015-01-02,11.43
2015-01-03,9.16
2015-01-04,9.89
2015-01-05,3.56
2015-01-06,3.2
2015-01-07,11.48
2015-01-08,13.08
2015-01-09,13.24
2015-01-10,12.35
2015-01-11,11.62
2015-01-12,10.82
2015-01-13,11.79
2015-01-14,14.71
2015-01-15,10.76
2015-01-16,10.4
2015-01-17,13.18
2015-01-18,13.37
2015-01-19,14.0
2015-01-20,14.16
2015-01-21,14.95
2015-01-22,14.53
2015-01-23,11.1
2015-01-24,5.29
2015-01-25,4.69
2015-01-26,2.31
2015-01-27,4.32
2015-01-28,7.6
2015-01-29,8.46
2015-01-30,9.4
2015-01-31,9.91
2015-02-01,7.99
2015-02-02,7.79
2015-02-03,10.73
2015-02-04,11.85
2015-02-05,12.44
2015-02-06,14.35
2015-02-07,13.79
2015-02-08,12.9
2015-02-09,12.53
2015-02-10,12.15
2015-02-11,13.42
2015-02-12,12.34
2015-02-13,11.42
2015-02-14,11.24
2015-02-15,10.92
2015-02-16,12.06
2015-02-17,12.61
2015-02-18,12.28
2015-02-19,10.67
2015-02-20,9.74
2015-02-21,11.22
2015-02-22,11.1
2015-02-23,11.33
2015-02-24,11.5
2015-02-25,10.34
2015-02-26,9.72
2015-02-27,9.75
2015-02-28,14.72
2015-03-01,13.42
2015-03-02,12.78
2015-03-03,11.19
2015-03-04,11.54
2015-03-05,8.64
2015-03-06,11.3
2015-03-07,11.49
2015-03-08,13.46
2015-03-09,14.86
2015-03-10,13.86
2015-03-11,14.2
2015-03-12,11.94
2015-03-13,11.93
2015-03-14,12.38
2015-03-15,11.08
2015-03-16,12.42
2015-03-17,11.4
2015-03-18,12.26
2015-03-19,14.76
2015-03-20,14.9
2015-03-21,15.94
2015-03-22,16.32
2015-03-23,16.4
2015-03-24,11.81
2015-03-25,11.25
2015-03-26,19.62
2015-03-27,17.5
2015-03-28,9.59
2015-03-29,11.26
2015-03-30,12.49
2015-03-31,13.36
2015-04-01,15.23
2015-04-02,11.55
2015-04-03,11.12
2015-04-04,12.95
2015-04-05,14.92
2015-04-06,14.17
2015-04-07,12.95
2015-04-08,15.62
2015-04-09,12.23
2015-04-10,11.46
2015-04-11,11.58
2015-04-12,13.12
2015-04-13,12.63
2015-04-14,14.3
2015-04-15,20.84
2015-04-16,23.18
2015-04-17,25.1
2015-04-18,19.19
2015-04-19,18.0
2015-04-20,20.18
2015-04-21,23.27
2015-04-22,15.21
2015-04-23,13.71
2015-04-24,15.23
2015-04-25,16.66
2015-04-26,21.26
2015-04-27,21.46
2015-04-28,14.94
2015-04-29,15.78
2015-04-30,16.02
2015-05-01,16.37
2015-05-02,17.69
2015-05-03,17.23
2015-05-04,13.11
2015-05-05,15.72
2015-05-06,16.35
2015-05-07,14.99
2015-05-08,14.62
2015-05-09,14.08
2015-05-10,15.63
2015-05-11,16.02
2015-05-12,19.6
2015-05-13,17.68
2015-05-14,16.89
2015-05-15,15.39
2015-05-16,16.23
2015-05-17,16.97
2015-05-18,19.27
2015-05-19,17.82
2015-05-20,19.14
2015-05-21,23.73
2015-05-22,20.11
2015-05-23,20.89
2015-05-24,19.58
2015-05-25,18.24
2015-05-26,19.23
2015-05-27,20.81
2015-05-28,25.31
2015-05-29,29.14
2015-05-30,21.99
2015-05-31,15.67
2015-06-01,16.02
2015-06-02,22.43
2015-06-03,20.12
2015-06-04,20.44
2015-06-05,19.53
2015-06-06,23.4
2015-06-07,20.33
2015-06-08,18.26
2015-06-09,15.03
2015-06-10,18.64
2015-06-11,21.92
2015-06-12,30.83
2015-06-13,23.28
2015-06-14,19.33
2015-06-15,19.4
2015-06-16,20.24
2015-06-17,17.43
2015-06-18,16.69
2015-06-19,16.82
2015-06-20,18.39
2015-06-21,19.38
2015-06-22,24.27
2015-06-23,20.14
2015-06-24,21.59
2015-06-25,16.19
2015-06-26,15.49
2015-06-27,18.22
2015-06-28,21.27
2015-06-29,20.26
2015-06-30,20.25
2015-07-01,17.59
2015-07-02,22.07
2015-07-03,24.9
2015-07-04,24.64
2015-07-05,25.68
2015-07-06,29.58
2015-07-07,24.77
2015-07-08,21.73
2015-07-09,17.75
2015-07-10,18.11
2015-07-11,18.11
2015-07-12,20.62
2015-07-13,20.94
2015-07-14,25.24
2015-07-15,26.23
2015-07-16,29.44
2015-07-17,24.49
2015-07-18,20.65
2015-07-19,19.86
2015-07-20,21.0
2015-07-21,21.86
2015-07-22,22.14
2015-07-23,21.27
2015-07-24,22.41
2015-07-25,22.96
2015-07-26,24.04
2015-07-27,23.06
2015-07-28,23.95
2015-07-29,24.77
2015-07-30,27.69
2015-07-31,28.38
2015-08-01,29.98
2015-08-02,31.78
2015-08-03,32.64
2015-08-04,33.05
2015-08-05,32.18
2015-08-06,30.95
