time,tasmax
2015-01-01,-2.39
2015-01-02,-1.89
2015-01-03,-3.18
2015-01-04,-2.43
2015-01-05,-0.82
2015-01-06,0.05
2015-01-07,3.84
2015-01-08,3.81
2015-01-09,1.49
2015-01-10,0.36
2015-01-11,2.06
2015-01-12,7.57
2015-01-13,5.98
2015-01-14,9.54
2015-01-15,8.51
2015-01-16,10.12
2015-01-17,9.92
2015-01-18,10.87
2015-01-19,12.65
2015-01-20,10.71
2015-01-21,13.06
2015-01-22,10.29
2015-01-23,7.24
2015-01-24,7.43
2015-01-25,4.45
2015-01-26,0.83
2015-01-27,5.4
2015-01-28,6.31
2015-01-29,6.65
2015-01-30,9.63
2015-02-01,8.68
2015-02-02,8.78
2015-02-03,12.22
2015-02-04,13.32
2015-02-05,9.81
2015-02-06,8.29
2015-02-07,8.25
2015-02-08,9.61
2015-02-09,6.53
2015-02-10,9.38
2015-02-11,9.42
2015-02-12,9.28
2015-02-13,10.02
2015-02-14,8.63
2015-02-15,10.99
2015-02-16,11.36
2015-02-17,7.95
2015-02-18,7.35
2015-02-19,12.33
2015-02-20,12.15
2015-02-21,7.76
2015-02-22,9.28
2015-02-23,14.89
2015-02-24,14.46
2015-02-25,13.17
2015-02-26,13.56
2015-02-27,9.26
2015-02-28,7.3
2015-02-29,10.21
2015-02-30,9.72
2015-03-01,11.68
2015-03-02,12.06
2015-03-03,12.11
2015-03-04,10.88
2015-03-05,15.77
2015-03-06,13.48
2015-03-07,15.76
2015-03-08,12.01
2015-03-09,14.23
2015-03-10,16.59
2015-03-11,13.1
2015-03-12,14.52
2015-03-13,15.18
2015-03-14,13.92
2015-03-15,16.85
2015-03-16,11.37
2015-03-17,10.22
2015-03-18,12.87
2015-03-19,15.16
2015-03-20,15.58
2015-03-21,15.91
2015-03-22,16.15
2015-03-23,16.09
2015-03-24,12.98
2015-03-25,7.25
2015-03-26,7.43
2015-03-27,9.16
2015-03-28,6.86
2015-03-29,7.16
2015-03-30,9.23
2015-04-01,15.25
2015-04-02,14.93
2015-04-03,14.26
2015-04-04,18.68
2015-04-05,21.97
2015-04-06,21.74
2015-04-07,11.19
2015-04-08,11.83
2015-04-09,9.86
2015-04-10,8.34
2015-04-11,11.86
2015-04-12,11.02
2015-04-13,11.82
2015-04-14,11.09
2015-04-15,11.7
2015-04-16,9.61
2015-04-17,9.2
2015-04-18,13.01
2015-04-19,15.63
2015-04-20,15.4
2015-04-21,14.29
2015-04-22,13.51
2015-04-23,10.99
2015-04-24,10.56
2015-04-25,7.21
2015-04-26,8.99
2015-04-27,8.04
2015-04-28,8.07
2015-04-29,10.04
2015-04-30,12.29
2015-05-01,10.74
2015-05-02,13.58
2015-05-03,17.42
2015-05-04,20.42
2015-05-05,13.12
2015-05-06,6.89
2015-05-07,8.22
2015-05-08,13.66
2015-05-09,17.19
2015-05-10,16.76
2015-05-11,17.0
2015-05-12,15.63
2015-05-13,17.4
2015-05-14,20.15
2015-05-15,23.19
2015-05-16,19.21
2015-05-17,16.32
2015-05-18,16.48
2015-05-19,15.23
2015-05-20,13.22
2015-05-21,12.85
