time,tasmax
2015-01-01,10.89
2015-01-02,10.91
2015-01-03,10.35
2015-01-04,10.02
2015-01-05,12.06
2015-01-06,10.09
2015-01-07,6.51
2015-01-08,2.71
2015-01-09,0.75
2015-01-10,3.97
2015-01-11,6.73
2015-01-12,9.51
2015-01-13,8.93
2015-01-14,10.71
2015-01-15,8.96
2015-01-16,9.87
2015-01-17,10.36
2015-01-18,9.38
2015-01-19,10.38
2015-01-20,10.22
2015-01-21,9.48
2015-01-22,9.5
2015-01-23,6.9
2015-01-24,7.38
2015-01-25,4.56
2015-01-26,5.45
2015-01-27,4.76
2015-01-28,5.49
2015-01-29,3.96
2015-01-30,6.02
2015-01-31,4.6
2015-02-01,7.69
2015-02-02,7.55
2015-02-03,8.47
2015-02-04,9.99
2015-02-05,10.21
2015-02-06,11.99
2015-02-07,12.71
2015-02-08,9.98
2015-02-09,11.71
2015-02-10,12.06
2015-02-11,12.66
2015-02-12,10.29
2015-02-13,7.55
2015-02-14,5.64
2015-02-15,2.66
2015-02-16,4.44
2015-02-17,4.86
2015-02-18,5.24
2015-02-19,10.21
2015-02-20,10.38
2015-02-21,11.28
2015-02-22,8.39
2015-02-23,9.29
2015-02-24,9.23
2015-02-25,8.29
2015-02-26,7.35
2015-02-27,7.47
2015-02-28,8.22
2015-03-01,7.76
2015-03-02,4.55
2015-03-03,4.09
2015-03-04,5.17
2015-03-05,8.04
2015-03-06,7.73
2015-03-07,9.04
2015-03-08,11.79
2015-03-09,13.0
2015-03-10,12.83
2015-03-11,15.23
2015-03-12,16.11
2015-03-13,14.95
2015-03-14,14.87
2015-03-15,16.24
2015-03-16,14.7
2015-03-17,16.9
2015-03-18,15.97
2015-03-19,14.19
2015-03-20,11.95
2015-03-21,11.36
2015-03-22,8.68
2015-03-23,9.5
2015-03-24,7.98
2015-03-25,8.1
2015-03-26,12.28
2015-03-27,11.56
2015-03-28,12.11
2015-03-29,9.57
2015-03-30,10.98
2015-03-31,12.76
2015-04-01,10.84
2015-04-02,10.89
2015-04-03,13.47
2015-04-04,14.34
2015-04-05,18.66
2015-04-06,18.34
2015-04-07,14.61
2015-04-08,17.76
2015-04-09,19.82
2015-04-10,16.87
2015-04-11,14.49
2015-04-12,14.78
2015-04-13,16.54
2015-04-14,18.72
2015-04-15,12.18
2015-04-16,14.4
2015-04-17,9.91
2015-04-18,11.67
2015-04-19,10.3
2015-04-20,11.53
2015-04-21,10.03
2015-04-22,8.83
2015-04-23,12.14
2015-04-24,12.83
2015-04-25,10.21
2015-04-26,11.45
2015-04-27,14.46
2015-04-28,17.75
2015-04-29,23.62
2015-04-30,19.82
2015-05-01,22.02
2015-05-02,23.86
2015-05-03,24.6
2015-05-04,27.73
2015-05-05,25.99
2015-05-06,19.01
2015-05-07,14.91
2015-05-08,14.89
2015-05-09,15.07
2015-05-10,16.54
2015-05-11,13.55
2015-05-12,12.81
2015-05-13,15.04
2015-05-14,17.66
2015-05-15,18.51
2015-05-16,15.06
2015-05-17,16.26
2015-05-18,15.74
2015-05-19,13.28
2015-05-20,14.18
2015-05-21,13.88
2015-05-22,15.97
2015-05-23,17.57
2015-05-24,15.85
2015-05-25,16.02
2015-05-26,13.73
2015-05-27,14.14
2015-05-28,14.37
2015-05-29,13.65
2015-05-30,15.49
2015-05-31,18.68
2015-06-01,22.63
2015-06-02,16.88
2015-06-03,17.24
2015-06-04,19.01
2015-06-05,20.04
2015-06-06,19.63
2015-06-07,19.18
2015-06-08,18.64
2015-06-09,20.32
2015-06-10,22.55
2015-06-11,23.64
2015-06-12,24.71
2015-06-13,27.27
2015-06-14,26.35
2015-06-15,25.83
2015-06-16,26.34
2015-06-17,25.03
2015-06-18,22.21
2015-06-19,21.45
2015-06-20,21.33
2015-06-21,22.68
2015-06-22,26.84
2015-06-23,24.99
2015-06-24,21.37
2015-06-25,20.76
2015-06-26,20.9
2015-06-27,21.65
2015-06-28,24.63
2015-06-29,25.46
2015-06-30,27.35
2015-07-01,28.46
2015-07-02,25.99
2015-07-03,21.73
2015-07-04,22.54
2015-07-05,27.51
2015-07-06,26.59
2015-07-07,21.83
2015-07-08,20.78
2015-07-09,20.99
2015-07-10,22.63
2015-07-11,24.34
2015-07-12,25.98
2015-07-13,23.73
2015-07-14,21.84
2015-07-15,23.64
2015-07-16,24.64
2015-07-17,20.95
2015-07-18,21.03
2015-07-19,21.32
2015-07-20,23.37
2015-07-21,26.06
2015-07-22,30.07
2015-07-23,28.2
2015-07-24,25.17
2015-07-25,24.91
2015-07-26,20.58
2015-07-27,20.44
2015-07-28,20.37
2015-07-29,20.41
2015-07-30,23.21
2015-07-31,20.59
2015-08-01,23.44
2015-08-02,23.04
2015-08-03,24.49
2015-08-04,26.49
2015-08-05,27.42
2015-08-06,27.83
2015-08-07,24.17
2015-08-08,25.09
2015-08-09,28.03
2015-08-10,26.58
2015-08-11,23.71
2015-08-12,20.75
2015-08-13,23.85
2015-08-14,26.09
2015-08-15,27.74
2015-08-16,29.99
2015-08-17,31.43
2015-08-18,30.42
2015-08-19,28.38
2015-08-20,25.07
2015-08-21,23.08
2015-08-22,21.25
2015-08-23,25.88
2015-08-24,26.01
2015-08-25,25.99
2015-08-26,28.98
2015-08-27,28.02
2015-08-28,24.95
2015-08-29,24.05
2015-08-30,26.1
2015-08-31,29.23
2015-09-01,29.86
2015-09-02,30.38
2015-09-03,19.88
2015-09-04,18.42
2015-09-05,21.18
2015-09-06,24.45
2015-09-07,20.99
2015-09-08,19.85
2015-09-09,19.08
2015-09-10,21.28
2015-09-11,20.43
2015-09-12,22.38
2015-09-13,24.04
2015-09-14,21.42
2015-09-15,22.7
2015-09-16,23.97
2015-09-17,25.41
2015-09-18,27.27
2015-09-19,25.85
2015-09-20,20.66
2015-09-21,17.36
2015-09-22,16.85
2015-09-23,16.58
2015-09-24,17.22
2015-09-25,13.0
2015-09-26,17.48
2015-09-27,17.29
2015-09-28,15.99
2015-09-29,17.57
2015-09-30,19.72
2015-10-01,23.06
2015-10-02,24.3
2015-10-03,17.89
2015-10-04,18.61
2015-10-05,20.99
2015-10-06,22.14
2015-10-07,23.0
2015-10-08,24.1
2015-10-09,25.78
2015-10-10,26.1
2015-10-11,25.31
2015-10-12,20.42
2015-10-13,20.81
2015-10-14,24.41
2015-10-15,25.13
2015-10-16,18.45
2015-10-17,15.54
2015-10-18,15.87
2015-10-19,18.58
2015-10-20,19.5
2015-10-21,21.62
2015-10-22,18.7
2015-10-23,17.33
2015-10-24,18.32
2015-10-25,14.75
2015-10-26,15.98
2015-10-27,15.72
2015-10-28,14.19
2015-10-29,14.86
2015-10-30,16.96
2015-10-31,17.96
2015-11-01,14.56
2015-11-02,11.01
2015-11-03,13.35
2015-11-04,17.28
2015-11-05,17.94
2015-11-06,17.96
2015-11-07,12.92
