time,tasmax
2015-01-01,13.34
2015-01-02,12.91
2015-01-03,12.59
2015-01-04,10.05
2015-01-05,9.8
2015-01-06,9.31
2015-01-07,7.59
2015-01-08,6.48
2015-01-09,9.81
2015-01-10,8.93
2015-01-11,8.91
2015-01-12,6.95
2015-01-13,11.75
2015-01-14,10.06
2015-01-15,11.81
2015-01-16,12.13
2015-01-17,11.87
2015-01-18,10.76
2015-01-19,13.37
2015-01-20,10.37
2015-01-21,9.87
2015-01-22,7.54
2015-01-23,8.38
2015-01-24,10.18
2015-01-25,10.5
2015-01-26,11.75
2015-01-27,10.72
2015-01-28,7.05
2015-01-29,10.86
2015-01-30,11.71
2015-01-31,8.93
2015-02-01,5.9
2015-02-02,3.79
2015-02-03,10.41
2015-02-04,7.33
2015-02-05,6.94
2015-02-06,3.49
2015-02-07,1.43
2015-02-08,0.59
2015-02-09,6.95
2015-02-10,6.18
2015-02-11,5.86
2015-02-12,2.56
2015-02-13,4.6
2015-02-14,10.98
2015-02-15,11.19
2015-02-16,7.18
2015-02-17,5.25
2015-02-18,9.03
2015-02-19,9.72
2015-02-20,7.21
2015-02-21,10.63
2015-02-22,11.8
2015-02-23,10.88
2015-02-24,10.76
2015-02-25,11.85
2015-02-26,12.13
2015-02-27,12.96
2015-02-28,14.19
2015-03-01,10.76
2015-03-02,8.07
2015-03-03,9.19
2015-03-04,8.93
2015-03-05,9.1
2015-03-06,10.53
2015-03-07,9.47
2015-03-08,7.3
2015-03-09,6.14
2015-03-10,1.43
2015-03-11,2.39
2015-03-12,1.9
2015-03-13,3.08
2015-03-14,5.52
2015-03-15,7.53
2015-03-16,10.0
2015-03-17,10.38
2015-03-18,9.88
2015-03-19,10.55
2015-03-20,10.07
2015-03-21,10.62
2015-03-22,11.38
2015-03-23,12.9
2015-03-24,16.98
2015-03-25,19.47
2015-03-26,21.01
2015-03-27,16.74
2015-03-28,18.42
2015-03-29,15.93
2015-03-30,11.26
2015-03-31,7.17
2015-04-01,9.23
2015-04-02,13.85
2015-04-03,14.73
2015-04-04,14.69
2015-04-05,16.02
2015-04-06,13.67
2015-04-07,14.03
2015-04-08,13.0
2015-04-09,15.47
2015-04-10,16.41
2015-04-11,21.56
2015-04-12,20.03
2015-04-13,28.44
2015-04-14,18.87
2015-04-15,18.71
2015-04-16,25.73
2015-04-17,29.1
2015-04-18,30.38
2015-04-19,33.46
2015-04-20,25.98
2015-04-21,16.61
2015-04-22,18.68
2015-04-23,16.63
2015-04-24,13.09
2015-04-25,13.95
2015-04-26,18.49
2015-04-27,23.92
2015-04-28,21.51
2015-04-29,19.49
2015-04-30,19.55
2015-05-01,26.33
2015-05-02,17.82
2015-05-03,15.2
2015-05-04,18.33
2015-05-05,21.3
2015-05-06,20.76
2015-05-07,23.29
2015-05-08,16.41
2015-05-09,19.12
2015-05-10,20.44
2015-05-11,19.9
2015-05-12,21.51
2015-05-13,20.81
2015-05-14,20.91
2015-05-15,19.29
2015-05-16,16.7
2015-05-17,11.91
2015-05-18,18.35
2015-05-19,25.75
2015-05-20,18.15
2015-05-21,19.02
2015-05-22,19.63
2015-05-23,21.27
2015-05-24,23.77
2015-05-25,22.88
2015-05-26,19.7
2015-05-27,14.91
2015-05-28,16.28
2015-05-29,16.12
2015-05-30,14.59
2015-05-31,16.97
2015-06-01,21.59
2015-06-02,22.59
2015-06-03,23.99
2015-06-04,22.45
2015-06-05,12.13
2015-06-06,17.89
2015-06-07,18.07
2015-06-08,19.27
2015-06-09,17.99
2015-06-10,19.0
2015-06-11,24.76
2015-06-12,19.21
2015-06-13,18.46
2015-06-14,19.69
2015-06-15,24.99
2015-06-16,25.13
2015-06-17,32.34
2015-06-18,36.36
2015-06-19,39.87
2015-06-20,38.77
2015-06-21,36.4
2015-06-22,36.86
2015-06-23,29.98
2015-06-24,23.88
2015-06-25,23.32
2015-06-26,20.78
2015-06-27,21.05
2015-06-28,20.96
2015-06-29,20.49
2015-06-30,24.89
2015-07-01,25.73
2015-07-02,27.46
2015-07-03,30.07
2015-07-04,28.94
2015-07-05,31.41
2015-07-06,32.73
2015-07-07,35.31
2015-07-08,37.22
2015-07-09,30.55
2015-07-10,25.62
2015-07-11,25.16
2015-07-12,28.45
2015-07-13,32.12
2015-07-14,22.67
2015-07-15,21.93
2015-07-16,23.32
2015-07-17,24.87
2015-07-18,28.83
2015-07-19,33.37
2015-07-20,36.14
2015-07-21,38.08
2015-07-22,37.68
2015-07-23,38.04
2015-07-24,38.79
2015-07-25,34.11
2015-07-26,18.41
2015-07-27,22.43
2015-07-28,24.8
2015-07-29,28.9
2015-07-30,35.03
2015-07-31,38.47
2015-08-01,31.67
2015-08-02,30.67
2015-08-03,38.12
2015-08-04,37.85
2015-08-05,40.04
2015-08-06,37.9
2015-08-07,33.82
2015-08-08,35.33
2015-08-09,38.21
2015-08-10,32.98
2015-08-11,26.1
2015-08-12,23.86
2015-08-13,22.66
2015-08-14,21.41
2015-08-15,24.9
2015-08-16,25.3
2015-08-17,20.43
2015-08-18,21.92
2015-08-19,23.43
2015-08-20,22.31
2015-08-21,23.52
2015-08-22,24.25
2015-08-23,24.77
2015-08-24,34.21
2015-08-25,30.46
2015-08-26,26.91
2015-08-27,33.13
2015-08-28,28.64
2015-08-29,38.29
2015-08-30,35.83
2015-08-31,37.49
2015-09-01,28.89
2015-09-02,21.31
2015-09-03,24.72
2015-09-04,25.28
2015-09-05,21.06
2015-09-06,22.19
2015-09-07,23.0
2015-09-08,28.52
2015-09-09,24.39
2015-09-10,18.58
2015-09-11,21.88
2015-09-12,23.04
2015-09-13,21.86
2015-09-14,22.9
2015-09-15,23.6
2015-09-16,21.85
2015-09-17,24.04
2015-09-18,26.87
2015-09-19,28.97
2015-09-20,30.21
2015-09-21,29.88
2015-09-22,28.54
2015-09-23,19.62
2015-09-24,17.2
2015-09-25,19.5
2015-09-26,21.54
2015-09-27,17.4
2015-09-28,17.17
2015-09-29,17.14
2015-09-30,17.58
2015-10-01,28.38
2015-10-02,24.75
2015-10-03,19.17
2015-10-04,15.47
2015-10-05,15.83
2015-10-06,14.57
2015-10-07,15.1
2015-10-08,14.9
2015-10-09,13.81
2015-10-10,15.55
2015-10-11,13.31
2015-10-12,12.49
2015-10-13,9.77
2015-10-14,8.3
2015-10-15,12.07
2015-10-16,12.58
2015-10-17,13.47
2015-10-18,12.6
2015-10-19,11.8
2015-10-20,10.73
2015-10-21,10.06
2015-10-22,10.63
2015-10-23,11.0
2015-10-24,11.61
2015-10-25,15.21
2015-10-26,13.8
2015-10-27,11.22
2015-10-28,16.12
2015-10-29,15.04
2015-10-30,14.05
2015-10-31,5.56
2015-11-01,6.69
2015-11-02,7.31
2015-11-03,13.52
2015-11-04,15.66
2015-11-05,16.04
2015-11-06,13.86
2015-11-07,12.18
2015-11-08,11.16
2015-11-09,11.19
2015-11-10,7.21
2015-11-11,10.84
2015-11-12,9.26
2015-11-13,9.78
2015-11-14,11.77
2015-11-15,9.94
2015-11-16,12.72
2015-11-17,14.94
2015-11-18,11.11
2015-11-19,14.13
2015-11-20,15.66
2015-11-21,11.65
2015-11-22,11.11
2015-11-23,14.8
2015-11-24,13.98
2015-11-25,9.65
2015-11-26,8.57
2015-11-27,8.12
2015-11-28,11.52
2015-11-29,12.7
2015-11-30,12.78
2015-12-01,12.11
2015-12-02,9.65
2015-12-03,3.67
2015-12-04,2.5
2015-12-05,2.92
2015-12-06,11.93
2015-12-07,9.47
2015-12-08,10.86
2015-12-09,11.21
2015-12-10,11.28
2015-12-11,9.67
2015-12-12,10.0
2015-12-13,9.48
2015-12-14,10.15
2015-12-15,7.34
2015-12-16,8.55
2015-12-17,11.23
2015-12-18,10.98
2015-12-19,12.62
2015-12-20,12.52
2015-12-21,11.86
2015-12-22,11.05
2015-12-23,9.76
2015-12-24,9.99
2015-12-25,7.43
2015-12-26,10.68
2015-12-27,13.03
2015-12-28,10.38
2015-12-29,13.34
2015-12-30,9.89
2015-12-31,12.06
2016-01-01,12.11
2016-01-02,11.73
2016-01-03,13.82
