time,tasmax
2015-01-01,10.95
2015-01-02,15.35
2015-01-03,14.17
2015-01-04,16.71
2015-01-05,12.73
2015-01-06,10.79
2015-01-07,13.88
2015-01-08,15.37
2015-01-09,11.67
2015-01-10,9.47
2015-01-11,8.21
2015-01-12,6.41
2015-01-13,6.73
2015-01-14,1.96
2015-01-15,4.89
2015-01-16,1.88
2015-01-17,1.18
2015-01-18,2.85
2015-01-19,5.82
2015-01-20,6.75
2015-01-21,6.41
2015-01-22,5.18
2015-01-23,7.26
2015-01-24,10.11
2015-01-25,13.25
2015-01-26,14.89
2015-01-27,11.84
2015-01-28,8.81
2015-01-29,8.88
2015-01-30,6.69
2015-01-31,6.81
2015-02-01,9.22
2015-02-02,17.8
2015-02-03,17.37
2015-02-04,12.83
2015-02-05,12.13
2015-02-06,12.52
2015-02-07,13.18
2015-02-08,12.34
2015-02-09,10.08
2015-02-10,8.53
2015-02-11,9.22
2015-02-12,10.86
2015-02-13,11.6
2015-02-14,10.99
2015-02-15,7.57
2015-02-16,9.44
2015-02-17,11.14
2015-02-18,11.14
2015-02-19,12.53
2015-02-20,14.7
2015-02-21,14.8
2015-02-22,9.6
2015-02-23,7.15
2015-02-24,5.29
2015-02-25,11.5
2015-02-26,10.16
2015-02-27,9.65
2015-02-28,9.59
2015-03-01,9.68
2015-03-02,8.24
2015-03-03,9.7
2015-03-04,9.98
2015-03-05,11.03
2015-03-06,8.78
2015-03-07,8.55
2015-03-08,7.33
2015-03-09,11.28
2015-03-10,5.5
2015-03-11,7.35
2015-03-12,11.48
2015-03-13,16.56
2015-03-14,13.91
2015-03-15,11.46
2015-03-16,13.91
2015-03-17,14.67
2015-03-18,13.36
2015-03-19,11.68
2015-03-20,11.92
2015-03-21,18.03
2015-03-22,20.31
2015-03-23,14.3
2015-03-24,12.72
2015-03-25,10.29
2015-03-26,12.22
2015-03-27,11.98
2015-03-28,14.39
2015-03-29,12.29
2015-03-30,13.49
2015-03-31,13.92
2015-04-01,16.65
2015-04-02,15.71
2015-04-03,12.68
2015-04-04,12.89
2015-04-05,11.93
2015-04-06,14.5
2015-04-07,12.36
2015-04-08,10.15
2015-04-09,13.27
2015-04-10,13.43
2015-04-11,12.6
2015-04-12,13.2
2015-04-13,11.06
2015-04-14,13.22
2015-04-15,13.77
2015-04-16,14.13
2015-04-17,10.88
2015-04-18,14.85
2015-04-19,18.44
2015-04-20,16.51
2015-04-21,12.05
2015-04-22,13.51
2015-04-23,15.49
2015-04-24,18.15
2015-04-25,13.49
2015-04-26,16.98
2015-04-27,20.19
2015-04-28,20.78
2015-04-29,21.83
2015-04-30,22.77
2015-05-01,18.59
2015-05-02,15.07
2015-05-03,16.51
2015-05-04,17.4
2015-05-05,19.51
2015-05-06,23.96
2015-05-07,23.3
2015-05-08,25.94
2015-05-09,20.81
2015-05-10,20.24
2015-05-11,19.55
2015-05-12,15.68
2015-05-13,23.4
2015-05-14,18.4
2015-05-15,14.25
2015-05-16,12.13
2015-05-17,12.96
2015-05-18,17.92
2015-05-19,20.77
2015-05-20,22.17
2015-05-21,22.35
2015-05-22,21.53
2015-05-23,17.59
2015-05-24,21.26
2015-05-25,17.78
2015-05-26,14.72
2015-05-27,14.97
2015-05-28,14.88
2015-05-29,15.03
2015-05-30,21.27
2015-05-31,17.62
2015-06-01,17.12
2015-06-02,16.67
2015-06-03,16.75
2015-06-04,21.88
2015-06-05,21.32
2015-06-06,22.36
2015-06-07,26.85
2015-06-08,24.04
2015-06-09,17.77
2015-06-10,18.94
2015-06-11,20.47
2015-06-12,21.7
2015-06-13,19.42
2015-06-14,19.97
2015-06-15,20.44
2015-06-16,22.44
2015-06-17,20.82
