time,tasmax
2015-01-01,12.97
2015-01-02,11.32
2015-01-03,13.3
2015-01-04,12.67
2015-01-05,12.94
2015-01-06,13.26
2015-01-07,13.26
2015-01-08,11.9
2015-01-09,9.73
2015-01-10,11.67
2015-01-11,15.22
2015-01-12,14.74
2015-01-13,12.89
2015-01-14,13.14
2015-01-15,15.28
2015-01-16,15.6
2015-01-17,13.15
2015-01-18,13.95
2015-01-19,11.03
2015-01-20,11.84
2015-01-21,10.87
2015-01-22,13.27
2015-01-23,14.31
2015-01-24,12.42
2015-01-25,13.9
2015-01-26,13.26
2015-01-27,13.49
2015-01-28,10.06
2015-01-29,8.83
2015-01-30,7.57
2015-01-31,6.23
2015-02-01,6.78
2015-02-02,6.21
2015-02-03,11.95
2015-02-04,12.28
2015-02-05,12.91
2015-02-06,14.13
2015-02-07,13.75
2015-02-08,13.71
2015-02-09,11.17
2015-02-10,12.13
2015-02-11,11.07
2015-02-12,12.31
2015-02-13,11.54
2015-02-14,11.23
2015-02-15,9.99
2015-02-16,11.4
2015-02-17,9.78
2015-02-18,10.68
2015-02-19,13.01
2015-02-20,13.11
2015-02-21,12.66
2015-02-22,13.07
2015-02-23,11.43
2015-02-24,12.4
2015-02-25,10.83
2015-02-26,10.77
2015-02-27,10.15
2015-02-28,11.91
2015-03-01,11.18
2015-03-02,13.2
2015-03-03,11.28
2015-03-04,11.13
2015-03-05,10.68
2015-03-06,11.66
2015-03-07,13.92
2015-03-08,15.38
2015-03-09,13.05
2015-03-10,12.84
2015-03-11,15.16
2015-03-12,14.72
2015-03-13,13.89
2015-03-14,17.78
2015-03-15,18.59
2015-03-16,20.83
2015-03-17,20.97
2015-03-18,12.9
2015-03-19,11.43
2015-03-20,14.28
2015-03-21,12.57
2015-03-22,13.12
2015-03-23,16.93
2015-03-24,14.39
2015-03-25,20.03
2015-03-26,21.78
2015-03-27,15.57
2015-03-28,19.56
2015-03-29,21.85
2015-03-30,21.39
2015-03-31,21.58
2015-04-01,12.66
2015-04-02,12.63
2015-04-03,17.18
2015-04-04,22.19
2015-04-05,23.12
2015-04-06,20.71
2015-04-07,17.06
2015-04-08,20.16
2015-04-09,21.24
2015-04-10,23.63
2015-04-11,23.03
2015-04-12,21.34
2015-04-13,12.86
2015-04-14,11.2
2015-04-15,11.35
2015-04-16,12.72
2015-04-17,13.86
2015-04-18,15.91
2015-04-19,14.17
2015-04-20,15.69
2015-04-21,15.21
2015-04-22,19.89
2015-04-23,20.86
2015-04-24,18.28
2015-04-25,12.93
2015-04-26,11.87
2015-04-27,14.01
2015-04-28,17.83
2015-04-29,17.01
2015-04-30,17.04
2015-05-01,25.76
2015-05-02,22.08
2015-05-03,19.18
2015-05-04,17.89
2015-05-05,18.51
2015-05-06,17.25
2015-05-07,19.36
2015-05-08,22.96
2015-05-09,20.07
2015-05-10,18.41
2015-05-11,16.73
2015-05-12,16.83
2015-05-13,16.75
2015-05-14,15.15
2015-05-15,15.42
2015-05-16,16.23
2015-05-17,16.92
2015-05-18,17.16
2015-05-19,13.76
2015-05-20,21.22
2015-05-21,23.5
2015-05-22,25.79
2015-05-23,31.81
2015-05-24,30.08
2015-05-25,25.02
2015-05-26,26.93
2015-05-27,30.91
2015-05-28,28.73
2015-05-29,26.94
2015-05-30,23.57
2015-05-31,22.4
2015-06-01,22.79
2015-06-02,25.06
2015-06-03,22.01
2015-06-04,22.48
2015-06-05,19.76
2015-06-06,18.78
2015-06-07,16.54
2015-06-08,17.47
2015-06-09,16.54
2015-06-10,16.55
2015-06-11,18.54
2015-06-12,17.61
2015-06-13,18.17
2015-06-14,18.74
2015-06-15,23.3
2015-06-16,25.24
2015-06-17,24.46
2015-06-18,25.09
2015-06-19,25.6
2015-06-20,26.4
2015-06-21,29.58
2015-06-22,31.84
2015-06-23,28.58
2015-06-24,28.77
2015-06-25,31.83
2015-06-26,34.91
2015-06-27,37.89
2015-06-28,35.75
2015-06-29,26.59
2015-06-30,27.86
2015-07-01,27.36
2015-07-02,30.91
2015-07-03,35.55
2015-07-04,36.65
2015-07-05,34.14
2015-07-06,25.66
2015-07-07,23.95
2015-07-08,27.81
2015-07-09,30.13
2015-07-10,31.8
2015-07-11,33.21
2015-07-12,34.69
2015-07-13,31.96
2015-07-14,31.59
2015-07-15,33.45
2015-07-16,28.32
2015-07-17,26.58
2015-07-18,28.83
2015-07-19,32.14
2015-07-20,37.03
2015-07-21,32.88
2015-07-22,31.1
2015-07-23,34.06
2015-07-24,33.73
2015-07-25,34.14
2015-07-26,29.96
2015-07-27,29.79
2015-07-28,30.33
2015-07-29,31.64
2015-07-30,27.53
2015-07-31,28.57
2015-08-01,35.19
2015-08-02,37.88
2015-08-03,35.66
2015-08-04,32.24
2015-08-05,29.32
2015-08-06,32.3
2015-08-07,35.55
2015-08-08,37.87
2015-08-09,38.63
2015-08-10,32.38
2015-08-11,31.97
2015-08-12,37.35
2015-08-13,33.92
2015-08-14,28.8
2015-08-15,31.32
2015-08-16,32.37
2015-08-17,37.67
2015-08-18,42.43
2015-08-19,42.16
2015-08-20,41.84
2015-08-21,41.66
2015-08-22,32.48
2015-08-23,25.14
2015-08-24,23.96
2015-08-25,23.0
2015-08-26,23.18
2015-08-27,26.0
2015-08-28,30.02
2015-08-29,34.48
2015-08-30,33.23
2015-08-31,30.12
2015-09-01,30.17
2015-09-02,27.68
2015-09-03,24.6
2015-09-04,27.98
2015-09-05,26.89
2015-09-06,23.81
2015-09-07,21.11
2015-09-08,22.83
2015-09-09,24.78
2015-09-10,26.35
2015-09-11,29.11
2015-09-12,31.69
2015-09-13,32.69
2015-09-14,32.11
2015-09-15,31.44
2015-09-16,31.86
2015-09-17,32.87
2015-09-18,34.5
2015-09-19,35.47
2015-09-20,31.34
2015-09-21,25.49
2015-09-22,21.59
2015-09-23,19.83
2015-09-24,21.4
2015-09-25,20.78
2015-09-26,23.37
2015-09-27,27.67
2015-09-28,28.89
2015-09-29,28.43
2015-09-30,21.25
2015-10-01,18.01
2015-10-02,17.79
2015-10-03,17.23
2015-10-04,14.52
2015-10-05,15.73
2015-10-06,16.95
2015-10-07,21.54
2015-10-08,16.46
2015-10-09,22.98
2015-10-10,19.41
2015-10-11,18.41
2015-10-12,17.32
2015-10-13,18.8
2015-10-14,21.29
2015-10-15,20.53
2015-10-16,27.24
2015-10-17,16.72
2015-10-18,16.56
2015-10-19,16.03
2015-10-20,13.15
2015-10-21,13.39
2015-10-22,15.67
2015-10-23,13.99
2015-10-24,14.81
2015-10-25,11.37
2015-10-26,11.36
2015-10-27,13.29
2015-10-28,12.2
2015-10-29,13.3
2015-10-30,14.55
2015-10-31,14.72
2015-11-01,17.34
2015-11-02,17.06
2015-11-03,18.86
2015-11-04,19.01
2015-11-05,17.91
2015-11-06,18.71
2015-11-07,16.84
2015-11-08,17.84
2015-11-09,17.55
2015-11-10,16.99
2015-11-11,16.37
2015-11-12,16.58
2015-11-13,18.35
2015-11-14,17.67
2015-11-15,19.23
2015-11-16,20.93
2015-11-17,19.33
2015-11-18,17.11
2015-11-19,17.29
2015-11-20,17.46
2015-11-21,15.54
2015-11-22,17.16
2015-11-23,15.29
2015-11-24,13.93
2015-11-25,17.05
2015-11-26,15.08
2015-11-27,12.71
2015-11-28,13.93
2015-11-29,13.4
2015-11-30,11.4
2015-12-01,10.85
2015-12-02,11.71
2015-12-03,11.13
2015-12-04,13.3
2015-12-05,13.88
2015-12-06,14.26
2015-12-07,12.87
2015-12-08,9.6
2015-12-09,8.52
2015-12-10,8.98
2015-12-11,9.35
2015-12-12,10.04
2015-12-13,10.51
2015-12-14,6.64
2015-12-15,5.67
2015-12-16,5.38
2015-12-17,7.3
2015-12-18,8.56
2015-12-19,8.97
2015-12-20,13.34
2015-12-21,12.15
2015-12-22,14.34
2015-12-23,9.39
2015-12-24,8.14
2015-12-25,7.59
2015-12-26,8.15
2015-12-27,10.92
2015-12-28,10.93
2015-12-29,11.75
2015-12-30,10.99
2015-12-31,10.53
2016-01-01,9.15
2016-01-02,9.55
2016-01-03,8.96
2016-01-04,5.09
2016-01-05,5.14
2016-01-06,5.05
2016-01-07,6.31
2016-01-08,10.97
2016-01-09,11.47
2016-01-10,10.56
2016-01-11,9.35
2016-01-12,10.18
2016-01-13,9.09
2016-01-14,9.25
2016-01-15,6.41
2016-01-16,8.92
2016-01-17,12.17
2016-01-18,12.39
2016-01-19,8.47
2016-01-20,7.66
2016-01-21,7.57
2016-01-22,7.47
2016-01-23,8.23
2016-01-24,7.17
2016-01-25,8.67
2016-01-26,8.03
2016-01-27,8.18
2016-01-28,8.5
2016-01-29,14.43
2016-01-30,16.05
2016-01-31,15.49
2016-02-01,15.21
2016-02-02,11.26
2016-02-03,13.3
2016-02-04,14.36
2016-02-05,12.73
2016-02-06,16.85
2016-02-07,13.7
2016-02-08,11.16
2016-02-09,13.7
2016-02-10,10.32
2016-02-11,14.3
2016-02-12,12.53
2016-02-13,13.95
2016-02-14,17.7
2016-02-15,17.79
2016-02-16,16.22
2016-02-17,15.32
2016-02-18,12.1
2016-02-19,7.41
2016-02-20,7.66
2016-02-21,6.88
2016-02-22,8.49
2016-02-23,8.64
2016-02-24,8.68
2016-02-25,8.37
2016-02-26,7.91
2016-02-27,9.82
2016-02-28,10.61
2016-03-01,13.48
2016-03-02,17.51
2016-03-03,14.34
2016-03-04,10.3
2016-03-05,11.59
2016-03-06,12.1
2016-03-07,14.13
2016-03-08,12.01
2016-03-09,14.4
2016-03-10,13.99
2016-03-11,13.99
2016-03-12,14.37
2016-03-13,9.85
2016-03-14,12.02
2016-03-15,12.83
2016-03-16,9.79
2016-03-17,4.21
2016-03-18,3.76
2016-03-19,6.33
2016-03-20,8.4
2016-03-21,9.73
2016-03-22,9.1
2016-03-23,7.98
2016-03-24,10.28
2016-03-25,16.28
2016-03-26,18.59
2016-03-27,17.41
2016-03-28,9.27
2016-03-29,10.29
2016-03-30,16.58
2016-03-31,13.56
2016-04-01,16.72
2016-04-02,23.84
2016-04-03,23.8
2016-04-04,17.98
2016-04-05,14.78
2016-04-06,13.73
2016-04-07,15.92
2016-04-08,13.65
2016-04-09,15.9
2016-04-10,13.71
2016-04-11,15.2
2016-04-12,22.22
2016-04-13,17.85
2016-04-14,15.61
2016-04-15,14.81
2016-04-16,12.12
2016-04-17,12.64
2016-04-18,13.66
2016-04-19,12.14
2016-04-20,11.23
2016-04-21,13.17
2016-04-22,16.34
2016-04-23,20.62
2016-04-24,14.7
2016-04-25,16.56
2016-04-26,15.5
2016-04-27,18.37
2016-04-28,19.17
2016-04-29,13.26
2016-04-30,15.62
2016-05-01,13.01
2016-05-02,16.08
2016-05-03,17.27
2016-05-04,22.85
2016-05-05,23.23
2016-05-06,23.57
2016-05-07,13.92
2016-05-08,20.14
2016-05-09,18.35
2016-05-10,18.06
2016-05-11,17.69
2016-05-12,17.07
2016-05-13,13.42
2016-05-14,17.07
2016-05-15,23.66
2016-05-16,26.48
2016-05-17,14.46
2016-05-18,16.46
2016-05-19,21.74
2016-05-20,20.07
2016-05-21,18.02
2016-05-22,24.45
2016-05-23,28.15
2016-05-24,23.48
2016-05-25,24.17
2016-05-26,18.39
2016-05-27,21.91
2016-05-28,24.65
2016-05-29,24.7
2016-05-30,19.11
2016-05-31,18.93
2016-06-01,17.24
2016-06-02,17.08
2016-06-03,17.1
2016-06-04,16.28
2016-06-05,22.91
2016-06-06,22.7
2016-06-07,19.0
2016-06-08,19.51
2016-06-09,18.14
2016-06-10,15.3
2016-06-11,15.61
2016-06-12,19.72
2016-06-13,19.9
2016-06-14,17.78
2016-06-15,19.09
2016-06-16,21.97
2016-06-17,24.45
2016-06-18,20.52
2016-06-19,18.71
2016-06-20,18.71
2016-06-21,24.54
2016-06-22,26.69
2016-06-23,20.37
2016-06-24,23.95
2016-06-25,26.09
2016-06-26,26.35
2016-06-27,27.64
2016-06-28,25.79
2016-06-29,26.32
2016-06-30,27.02
2016-07-01,20.15
2016-07-02,16.22
2016-07-03,15.86
2016-07-04,21.03
2016-07-05,20.77
2016-07-06,22.09
2016-07-07,25.04
2016-07-08,26.84
2016-07-09,28.37
2016-07-10,31.69
2016-07-11,32.91
2016-07-12,36.76
2016-07-13,39.41
2016-07-14,30.06
2016-07-15,27.01
2016-07-16,30.01
2016-07-17,32.81
2016-07-18,38.53
2016-07-19,27.37
2016-07-20,24.3
2016-07-21,25.48
2016-07-22,24.48
2016-07-23,25.96
2016-07-24,28.68
2016-07-25,36.17
2016-07-26,33.01
2016-07-27,26.63
2016-07-28,27.06
2016-07-29,28.49
2016-07-30,29.34
2016-07-31,30.92
2016-08-01,31.66
2016-08-02,36.16
2016-08-03,34.12
2016-08-04,26.22
2016-08-05,26.53
2016-08-06,30.63
2016-08-07,27.94
2016-08-08,29.0
2016-08-09,32.94
2016-08-10,29.52
2016-08-11,30.29
2016-08-12,33.97
2016-08-13,32.71
2016-08-14,29.14
2016-08-15,28.22
2016-08-16,31.6
2016-08-17,36.33
2016-08-18,35.4
2016-08-19,26.2
2016-08-20,20.64
2016-08-21,21.84
2016-08-22,21.21
2016-08-23,22.41
2016-08-24,25.42
2016-08-25,27.33
2016-08-26,33.22
2016-08-27,37.0
2016-08-28,31.7
2016-08-29,28.73
2016-08-30,23.58
2016-08-31,24.85
2016-09-01,30.58
2016-09-02,26.14
2016-09-03,21.87
2016-09-04,20.53
2016-09-05,23.1
2016-09-06,24.51
2016-09-07,25.65
2016-09-08,30.16
2016-09-09,35.5
2016-09-10,32.18
2016-09-11,28.23
2016-09-12,30.43
2016-09-13,33.47
2016-09-14,22.55
2016-09-15,21.98
2016-09-16,22.87
2016-09-17,21.06
2016-09-18,21.41
2016-09-19,22.72
2016-09-20,23.08
2016-09-21,26.62
2016-09-22,30.35
2016-09-23,31.4
2016-09-24,22.31
2016-09-25,22.85
2016-09-26,22.4
2016-09-27,20.63
2016-09-28,20.33
2016-09-29,23.71
2016-09-30,29.68
2016-10-01,28.64
2016-10-02,20.0
2016-10-03,22.11
2016-10-04,23.23
2016-10-05,27.32
2016-10-06,24.48
2016-10-07,18.01
2016-10-08,17.18
2016-10-09,15.78
2016-10-10,15.77
2016-10-11,17.63
2016-10-12,20.69
2016-10-13,17.46
2016-10-14,16.1
2016-10-15,16.36
2016-10-16,16.96
2016-10-17,17.46
2016-10-18,19.65
2016-10-19,18.57
2016-10-20,21.43
2016-10-21,17.33
2016-10-22,15.2
2016-10-23,15.72
2016-10-24,15.77
2016-10-25,16.11
2016-10-26,19.34
2016-10-27,22.03
2016-10-28,20.17
2016-10-29,18.76
2016-10-30,21.56
2016-10-31,17.72
2016-11-01,15.43
2016-11-02,16.23
2016-11-03,17.45
2016-11-04,15.07
2016-11-05,20.0
2016-11-06,18.15
2016-11-07,16.03
2016-11-08,16.57
2016-11-09,17.62
2016-11-10,15.29
2016-11-11,14.1
2016-11-12,14.13
2016-11-13,14.09
2016-11-14,15.74
2016-11-15,14.58
2016-11-16,14.8
2016-11-17,14.72
2016-11-18,15.44
2016-11-19,16.04
2016-11-20,11.19
2016-11-21,8.6
2016-11-22,7.59
2016-11-23,6.27
2016-11-24,4.61
2016-11-25,5.92
2016-11-26,8.29
2016-11-27,10.11
2016-11-28,10.45
2016-11-29,11.7
2016-11-30,13.47
2016-12-01,11.93
2016-12-02,12.56
2016-12-03,12.4
2016-12-04,10.98
2016-12-05,8.34
2016-12-06,9.44
2016-12-07,10.33
2016-12-08,8.8
2016-12-09,10.83
2016-12-10,13.4
2016-12-11,14.03
2016-12-12,13.9
2016-12-13,14.73
2016-12-14,13.5
2016-12-15,12.56
2016-12-16,13.76
2016-12-17,16.02
2016-12-18,15.86
2016-12-19,17.27
2016-12-20,15.07
2016-12-21,13.81
2016-12-22,13.18
2016-12-23,12.55
2016-12-24,9.02
2016-12-25,5.99
2016-12-26,5.32
2016-12-27,11.05
2016-12-28,10.18
2016-12-29,9.37
2016-12-30,8.78
2016-12-31,7.8
2017-01-01,11.34
2017-01-02,15.77
2017-01-03,13.27
2017-01-04,12.65
2017-01-05,13.71
2017-01-06,13.14
2017-01-07,11.44
2017-01-08,10.89
2017-01-09,11.56
2017-01-10,12.31
2017-01-11,12.67
2017-01-12,13.16
2017-01-13,10.38
2017-01-14,7.49
2017-01-15,8.82
2017-01-16,9.06
2017-01-17,7.54
2017-01-18,7.16
2017-01-19,9.21
2017-01-20,10.64
2017-01-21,10.43
2017-01-22,8.95
2017-01-23,8.77
2017-01-24,6.48
2017-01-25,6.79
2017-01-26,10.23
2017-01-27,8.41
2017-01-28,6.19
2017-01-29,4.93
2017-01-30,3.28
2017-01-31,6.84
2017-02-01,8.5
2017-02-02,7.61
2017-02-03,7.09
2017-02-04,6.14
2017-02-05,5.56
2017-02-06,7.68
2017-02-07,11.03
2017-02-08,8.0
2017-02-09,7.6
2017-02-10,6.81
2017-02-11,2.72
2017-02-12,3.65
2017-02-13,2.55
2017-02-14,8.14
2017-02-15,7.1
2017-02-16,9.37
2017-02-17,7.43
2017-02-18,6.19
2017-02-19,8.22
2017-02-20,11.02
2017-02-21,12.94
2017-02-22,12.98
2017-02-23,7.96
2017-02-24,10.76
2017-02-25,11.47
2017-02-26,10.87
2017-02-27,11.02
2017-02-28,13.2
2017-03-01,14.69
2017-03-02,11.2
2017-03-03,12.62
2017-03-04,12.44
2017-03-05,11.38
2017-03-06,13.17
2017-03-07,11.2
2017-03-08,11.74
2017-03-09,15.09
2017-03-10,19.58
2017-03-11,18.63
2017-03-12,17.8
2017-03-13,13.98
2017-03-14,16.18
2017-03-15,19.22
2017-03-16,14.41
2017-03-17,16.23
2017-03-18,19.34
2017-03-19,13.25
2017-03-20,6.62
2017-03-21,14.53
2017-03-22,16.59
2017-03-23,19.95
2017-03-24,15.98
2017-03-25,13.63
2017-03-26,11.01
2017-03-27,9.12
2017-03-28,12.03
2017-03-29,12.61
2017-03-30,11.78
2017-03-31,13.75
2017-04-01,15.23
2017-04-02,19.37
2017-04-03,22.54
2017-04-04,15.42
2017-04-05,18.59
2017-04-06,16.4
2017-04-07,17.76
2017-04-08,16.25
2017-04-09,15.24
2017-04-10,18.44
2017-04-11,16.76
2017-04-12,20.37
2017-04-13,22.13
2017-04-14,24.02
2017-04-15,17.28
2017-04-16,21.32
2017-04-17,16.92
2017-04-18,15.12
2017-04-19,19.97
2017-04-20,17.12
2017-04-21,19.18
2017-04-22,14.48
2017-04-23,13.32
2017-04-24,15.9
2017-04-25,18.2
2017-04-26,18.92
2017-04-27,18.38
2017-04-28,17.38
2017-04-29,20.05
2017-04-30,23.71
2017-05-01,26.42
2017-05-02,26.29
2017-05-03,19.67
2017-05-04,16.95
2017-05-05,19.44
2017-05-06,19.91
2017-05-07,25.01
2017-05-08,24.0
2017-05-09,23.33
2017-05-10,24.04
2017-05-11,17.11
2017-05-12,13.79
2017-05-13,15.71
2017-05-14,18.89
2017-05-15,13.82
2017-05-16,14.77
2017-05-17,13.93
2017-05-18,18.09
2017-05-19,17.99
2017-05-20,17.97
2017-05-21,20.64
2017-05-22,24.38
2017-05-23,19.85
2017-05-24,21.46
2017-05-25,23.54
2017-05-26,22.68
2017-05-27,23.23
2017-05-28,23.0
2017-05-29,21.99
2017-05-30,24.29
2017-05-31,26.45
2017-06-01,28.08
2017-06-02,27.64
2017-06-03,23.92
2017-06-04,21.71
2017-06-05,21.46
2017-06-06,21.2
2017-06-07,23.02
2017-06-08,14.07
2017-06-09,20.62
2017-06-10,20.45
2017-06-11,25.73
2017-06-12,29.52
2017-06-13,23.23
2017-06-14,21.64
2017-06-15,24.97
2017-06-16,22.52
2017-06-17,24.19
2017-06-18,27.5
2017-06-19,32.29
2017-06-20,34.34
2017-06-21,32.52
2017-06-22,28.04
2017-06-23,35.3
2017-06-24,35.61
2017-06-25,36.32
2017-06-26,26.72
2017-06-27,25.26
2017-06-28,26.0
2017-06-29,20.53
2017-06-30,22.67
2017-07-01,24.02
2017-07-02,23.16
2017-07-03,23.05
2017-07-04,21.12
2017-07-05,19.59
2017-07-06,18.02
2017-07-07,22.55
2017-07-08,23.27
2017-07-09,22.32
2017-07-10,21.22
2017-07-11,23.18
2017-07-12,24.79
2017-07-13,21.87
2017-07-14,20.54
2017-07-15,24.27
2017-07-16,22.38
2017-07-17,23.79
2017-07-18,26.37
2017-07-19,24.35
2017-07-20,22.93
2017-07-21,29.35
2017-07-22,31.75
2017-07-23,34.3
2017-07-24,34.77
2017-07-25,34.06
2017-07-26,41.67
2017-07-27,27.69
2017-07-28,22.7
2017-07-29,28.19
2017-07-30,34.4
2017-07-31,34.31
2017-08-01,28.77
2017-08-02,30.95
2017-08-03,30.82
2017-08-04,29.45
2017-08-05,31.4
2017-08-06,31.87
2017-08-07,36.36
2017-08-08,37.25
2017-08-09,28.82
2017-08-10,28.63
2017-08-11,32.09
2017-08-12,35.59
2017-08-13,34.28
2017-08-14,25.18
2017-08-15,27.41
2017-08-16,26.37
2017-08-17,21.76
2017-08-18,22.04
2017-08-19,25.33
2017-08-20,22.14
2017-08-21,22.29
2017-08-22,20.3
2017-08-23,24.91
2017-08-24,27.93
2017-08-25,29.76
2017-08-26,30.5
2017-08-27,31.98
2017-08-28,29.57
2017-08-29,32.04
2017-08-30,33.07
2017-08-31,35.34
2017-09-01,38.61
2017-09-02,38.07
2017-09-03,28.52
2017-09-04,21.54
2017-09-05,21.98
2017-09-06,24.53
2017-09-07,28.78
2017-09-08,30.35
2017-09-09,33.69
2017-09-10,35.55
2017-09-11,30.94
2017-09-12,26.65
2017-09-13,28.27
2017-09-14,32.24
2017-09-15,35.02
2017-09-16,33.27
2017-09-17,34.7
2017-09-18,36.09
2017-09-19,34.93
2017-09-20,28.75
2017-09-21,28.6
2017-09-22,31.99
2017-09-23,32.25
2017-09-24,31.53
2017-09-25,17.95
2017-09-26,16.68
2017-09-27,11.33
2017-09-28,18.66
2017-09-29,21.84
2017-09-30,18.08
2017-10-01,18.17
2017-10-02,19.52
2017-10-03,24.57
2017-10-04,25.95
2017-10-05,24.72
2017-10-06,24.77
2017-10-07,19.43
2017-10-08,16.93
2017-10-09,16.66
2017-10-10,20.59
2017-10-11,18.27
2017-10-12,20.09
2017-10-13,23.32
2017-10-14,20.72
2017-10-15,21.8
2017-10-16,19.84
2017-10-17,16.92
2017-10-18,12.7
2017-10-19,15.46
2017-10-20,14.96
2017-10-21,19.53
2017-10-22,16.57
2017-10-23,15.56
2017-10-24,17.54
2017-10-25,15.5
2017-10-26,13.11
2017-10-27,13.77
2017-10-28,14.82
2017-10-29,19.25
2017-10-30,20.96
2017-10-31,17.02
2017-11-01,13.47
2017-11-02,11.69
2017-11-03,11.04
2017-11-04,11.28
2017-11-05,15.98
2017-11-06,14.25
2017-11-07,15.54
2017-11-08,15.55
2017-11-09,18.35
2017-11-10,12.02
2017-11-11,17.28
2017-11-12,15.56
2017-11-13,14.72
2017-11-14,11.09
2017-11-15,10.97
2017-11-16,11.75
2017-11-17,12.22
2017-11-18,10.27
2017-11-19,14.08
2017-11-20,11.09
2017-11-21,11.31
2017-11-22,10.55
2017-11-23,10.82
2017-11-24,8.88
2017-11-25,6.93
2017-11-26,10.52
2017-11-27,12.32
2017-11-28,15.37
2017-11-29,12.08
2017-11-30,12.0
2017-12-01,16.54
