time,tasmax
2015-01-01,8.4
2015-01-02,5.85
2015-01-03,7.16
2015-01-04,4.7
2015-01-05,6.24
2015-01-06,8.26
2015-01-07,6.76
2015-01-08,5.45
2015-01-09,5.67
2015-01-10,8.62
2015-01-11,8.97
2015-01-12,9.42
2015-01-13,8.68
2015-01-14,9.98
2015-01-15,10.67
2015-01-16,1.17
2015-01-17,2.11
2015-01-18,8.48
2015-01-19,9.53
2015-01-20,9.0
2015-01-21,8.17
2015-01-22,7.75
2015-01-23,6.72
2015-01-24,4.1
2015-01-25,5.24
2015-01-26,5.59
2015-01-27,5.89
2015-01-28,6.67
2015-01-29,5.6
2015-01-30,6.61
2015-01-31,7.72
2015-02-01,8.2
2015-02-02,6.98
2015-02-03,7.85
2015-02-04,7.82
2015-02-05,5.59
2015-02-06,1.25
2015-02-07,2.65
2015-02-08,6.52
2015-02-09,3.43
2015-02-10,7.43
2015-02-11,8.73
2015-02-12,10.03
2015-02-13,8.99
2015-02-14,9.25
2015-02-15,14.77
2015-02-16,8.93
2015-02-17,9.15
2015-02-18,10.69
2015-02-19,12.91
2015-02-20,10.29
2015-02-21,10.24
2015-02-22,13.86
2015-02-23,10.86
2015-02-24,12.77
2015-02-25,14.0
2015-02-26,10.2
2015-02-27,14.86
2015-02-28,15.48
2015-03-01,11.1
2015-03-02,14.47
2015-03-03,15.29
2015-03-04,15.35
2015-03-05,11.34
2015-03-06,12.15
2015-03-07,16.03
2015-03-08,11.48
2015-03-09,9.15
2015-03-10,11.97
2015-03-11,14.56
2015-03-12,14.55
2015-03-13,15.49
2015-03-14,12.3
2015-03-15,14.28
2015-03-16,15.72
2015-03-17,12.19
2015-03-18,15.38
2015-03-19,17.49
2015-03-20,11.72
2015-03-21,9.47
2015-03-22,10.63
2015-03-23,11.06
2015-03-24,15.74
2015-03-25,10.74
2015-03-26,9.47
2015-03-27,6.72
2015-03-28,13.45
2015-03-29,14.92
2015-03-30,12.41
2015-03-31,13.42
2015-04-01,11.59
2015-04-02,11.13
2015-04-03,13.26
2015-04-04,14.53
2015-04-05,13.61
2015-04-06,9.37
2015-04-07,9.41
2015-04-08,10.28
2015-04-09,6.32
2015-04-10,5.75
2015-04-11,10.6
2015-04-12,12.7
2015-04-13,12.26
2015-04-14,11.75
2015-04-15,11.3
2015-04-16,15.15
2015-04-17,16.53
2015-04-18,14.0
2015-04-19,16.18
2015-04-20,18.28
2015-04-21,12.78
2015-04-22,13.39
2015-04-23,13.81
2015-04-24,15.52
2015-04-25,17.03
2015-04-26,13.78
2015-04-27,14.56
2015-04-28,14.42
2015-04-29,11.15
2015-04-30,13.19
2015-05-01,13.99
2015-05-02,18.66
2015-05-03,16.72
2015-05-04,16.08
2015-05-05,14.42
2015-05-06,13.98
2015-05-07,13.94
2015-05-08,14.18
2015-05-09,9.96
2015-05-10,10.28
2015-05-11,10.89
2015-05-12,12.17
2015-05-13,16.89
2015-05-14,18.75
2015-05-15,12.03
2015-05-16,12.37
2015-05-17,13.89
2015-05-18,11.09
2015-05-19,14.06
2015-05-20,12.76
2015-05-21,15.4
2015-05-22,22.03
2015-05-23,24.05
2015-05-24,24.42
2015-05-25,18.77
2015-05-26,20.98
2015-05-27,24.26
2015-05-28,17.12
2015-05-29,16.27
2015-05-30,16.94
2015-05-31,21.7
2015-06-01,23.86
2015-06-02,19.06
2015-06-03,19.07
2015-06-04,24.67
2015-06-05,25.38
2015-06-06,24.88
2015-06-07,25.99
2015-06-08,20.27
2015-06-09,23.45
2015-06-10,24.71
2015-06-11,21.88
2015-06-12,20.46
2015-06-13,15.27
2015-06-14,18.07
2015-06-15,19.84
2015-06-16,20.31
2015-06-17,23.81
2015-06-18,23.79
2015-06-19,28.55
2015-06-20,27.16
2015-06-21,23.3
2015-06-22,21.2
2015-06-23,21.35
2015-06-24,21.23
2015-06-25,19.74
2015-06-26,18.86
2015-06-27,18.19
2015-06-28,17.29
2015-06-29,18.44
2015-06-30,20.14
2015-07-01,20.86
2015-07-02,21.86
2015-07-03,28.1
2015-07-04,24.6
2015-07-05,28.91
2015-07-06,24.03
2015-07-07,23.22
2015-07-08,21.74
2015-07-09,20.77
2015-07-10,23.1
2015-07-11,24.21
2015-07-12,24.96
2015-07-13,24.22
2015-07-14,25.11
2015-07-15,26.54
2015-07-16,26.87
2015-07-17,22.87
2015-07-18,23.93
2015-07-19,27.2
2015-07-20,30.62
2015-07-21,32.63
2015-07-22,33.7
2015-07-23,33.56
2015-07-24,30.21
2015-07-25,27.3
2015-07-26,28.8
2015-07-27,29.55
2015-07-28,32.08
2015-07-29,32.08
2015-07-30,33.24
2015-07-31,33.8
2015-08-01,34.74
2015-08-02,29.94
2015-08-03,30.01
