time,tasmax
2015-01-01,14.77
2015-01-02,14.53
2015-01-03,14.55
2015-01-04,13.37
2015-01-05,7.45
2015-01-06,8.37
2015-01-07,4.51
2015-01-08,3.92
2015-01-09,9.3
2015-01-10,11.45
2015-01-11,11.76
2015-01-12,14.46
2015-01-13,16.44
2015-01-14,14.3
2015-01-15,17.59
2015-01-16,17.32
2015-01-17,16.09
2015-01-18,17.52
2015-01-19,12.9
2015-01-20,15.37
2015-01-21,18.72
2015-01-22,19.42
2015-01-23,17.26
2015-01-24,17.24
2015-01-25,14.49
2015-01-26,14.7
2015-01-27,14.99
2015-01-28,13.38
2015-01-29,13.73
2015-01-30,16.11
2015-01-31,17.31
2015-02-01,14.1
2015-02-02,13.38
2015-02-03,12.08
2015-02-04,11.96
2015-02-05,14.24
2015-02-06,15.03
2015-02-07,16.13
2015-02-08,11.34
2015-02-09,13.98
2015-02-10,15.12
2015-02-11,12.95
2015-02-12,11.21
2015-02-13,9.01
2015-02-14,11.94
2015-02-15,14.35
2015-02-16,12.21
2015-02-17,9.05
2015-02-18,8.96
2015-02-19,9.38
2015-02-20,8.55
2015-02-21,10.4
2015-02-22,13.44
2015-02-23,15.73
2015-02-24,12.81
2015-02-25,11.06
2015-02-26,9.0
2015-02-27,10.67
2015-02-28,12.24
2015-03-01,12.06
2015-03-02,13.72
2015-03-03,10.55
2015-03-04,11.72
2015-03-05,11.12
2015-03-06,10.99
2015-03-07,11.79
2015-03-08,10.07
2015-03-09,8.42
2015-03-10,9.25
2015-03-11,9.39
2015-03-12,8.55
2015-03-13,10.83
2015-03-14,7.7
2015-03-15,8.61
2015-03-16,8.96
2015-03-17,12.33
2015-03-18,12.62
2015-03-19,10.39
2015-03-20,14.88
2015-03-21,17.09
2015-03-22,12.83
2015-03-23,11.58
2015-03-24,11.53
2015-03-25,10.0
2015-03-26,9.83
2015-03-27,9.58
2015-03-28,9.35
2015-03-29,9.31
2015-03-30,10.14
2015-03-31,11.31
2015-04-01,11.99
2015-04-02,13.09
2015-04-03,11.87
2015-04-04,14.28
2015-04-05,19.68
2015-04-06,19.27
2015-04-07,21.39
2015-04-08,20.7
2015-04-09,20.65
2015-04-10,20.91
2015-04-11,19.38
2015-04-12,21.47
2015-04-13,21.96
2015-04-14,20.62
2015-04-15,20.03
2015-04-16,21.38
2015-04-17,23.28
2015-04-18,19.95
2015-04-19,16.62
2015-04-20,15.85
2015-04-21,20.59
2015-04-22,18.15
2015-04-23,22.03
2015-04-24,17.06
2015-04-25,16.91
2015-04-26,18.56
2015-04-27,23.97
2015-04-28,21.92
2015-04-29,20.91
2015-04-30,14.71
2015-05-01,18.04
2015-05-02,20.49
2015-05-03,22.96
2015-05-04,23.31
2015-05-05,24.6
2015-05-06,22.66
2015-05-07,20.65
2015-05-08,16.58
2015-05-09,16.61
2015-05-10,22.4
2015-05-11,22.63
2015-05-12,22.41
2015-05-13,26.0
2015-05-14,27.84
2015-05-15,26.39
2015-05-16,29.97
2015-05-17,28.97
2015-05-18,30.77
2015-05-19,28.89
2015-05-20,30.31
2015-05-21,28.72
2015-05-22,21.34
2015-05-23,21.89
2015-05-24,23.38
2015-05-25,22.11
2015-05-26,21.85
2015-05-27,23.75
2015-05-28,22.62
2015-05-29,19.95
2015-05-30,19.21
2015-05-31,19.2
2015-06-01,24.86
2015-06-02,26.38
2015-06-03,24.15
2015-06-04,23.19
2015-06-05,23.13
2015-06-06,26.48
2015-06-07,31.58
2015-06-08,32.51
2015-06-09,30.78
2015-06-10,28.78
2015-06-11,27.1
2015-06-12,26.63
2015-06-13,28.58
2015-06-14,31.47
2015-06-15,33.94
2015-06-16,31.77
2015-06-17,32.81
2015-06-18,33.87
2015-06-19,36.37
2015-06-20,37.56
2015-06-21,35.19
2015-06-22,38.8
2015-06-23,29.6
2015-06-24,30.84
2015-06-25,26.14
2015-06-26,26.91
2015-06-27,31.31
2015-06-28,34.5
2015-06-29,35.54
2015-06-30,35.72
2015-07-01,36.45
2015-07-02,35.63
2015-07-03,35.96
2015-07-04,34.18
2015-07-05,32.32
2015-07-06,32.08
2015-07-07,34.32
2015-07-08,29.79
2015-07-09,25.27
2015-07-10,26.42
2015-07-11,25.67
2015-07-12,29.31
2015-07-13,26.85
2015-07-14,30.27
2015-07-15,30.8
2015-07-16,30.47
2015-07-17,31.54
2015-07-18,37.29
2015-07-19,37.84
2015-07-20,26.46
2015-07-21,30.14
2015-07-22,34.05
2015-07-23,37.47
2015-07-24,36.4
2015-07-25,33.78
2015-07-26,35.86
2015-07-27,37.08
2015-07-28,33.72
2015-07-29,29.07
2015-07-30,27.02
2015-07-31,23.15
2015-08-01,22.97
2015-08-02,23.82
2015-08-03,26.18
2015-08-04,25.72
2015-08-05,25.98
2015-08-06,25.79
2015-08-07,25.52
2015-08-08,29.48
2015-08-09,31.85
2015-08-10,27.63
2015-08-11,26.06
2015-08-12,30.16
2015-08-13,35.25
2015-08-14,26.39
2015-08-15,26.45
2015-08-16,29.16
2015-08-17,37.46
2015-08-18,37.23
2015-08-19,38.53
2015-08-20,38.67
2015-08-21,37.2
2015-08-22,36.57
2015-08-23,37.75
2015-08-24,38.23
2015-08-25,29.64
2015-08-26,25.61
2015-08-27,26.23
2015-08-28,30.02
2015-08-29,32.64
2015-08-30,26.61
2015-08-31,28.68
2015-09-01,30.34
2015-09-02,30.62
2015-09-03,29.68
2015-09-04,27.22
2015-09-05,26.66
2015-09-06,29.54
2015-09-07,30.29
2015-09-08,30.7
2015-09-09,21.71
2015-09-10,27.23
2015-09-11,26.91
2015-09-12,29.67
2015-09-13,27.71
2015-09-14,26.62
2015-09-15,29.89
2015-09-16,32.51
2015-09-17,30.31
2015-09-18,24.66
2015-09-19,20.65
2015-09-20,23.5
2015-09-21,25.65
2015-09-22,28.43
2015-09-23,28.56
2015-09-24,28.59
2015-09-25,28.21
2015-09-26,23.31
2015-09-27,19.36
2015-09-28,20.04
2015-09-29,19.89
2015-09-30,20.7
2015-10-01,23.25
2015-10-02,24.47
2015-10-03,23.43
2015-10-04,24.91
2015-10-05,23.44
2015-10-06,26.25
2015-10-07,26.22
2015-10-08,25.87
2015-10-09,27.0
2015-10-10,27.22
2015-10-11,26.69
2015-10-12,25.58
2015-10-13,24.67
2015-10-14,24.04
2015-10-15,21.07
2015-10-16,21.82
2015-10-17,20.99
2015-10-18,18.66
2015-10-19,17.82
2015-10-20,17.6
2015-10-21,20.13
2015-10-22,20.77
2015-10-23,17.49
2015-10-24,16.52
2015-10-25,16.87
2015-10-26,18.71
2015-10-27,19.84
2015-10-28,20.47
2015-10-29,20.5
2015-10-30,20.04
2015-10-31,18.43
2015-11-01,19.06
2015-11-02,20.41
2015-11-03,22.46
2015-11-04,21.93
2015-11-05,18.11
2015-11-06,20.6
2015-11-07,19.39
2015-11-08,19.19
2015-11-09,17.59
2015-11-10,18.97
2015-11-11,17.77
2015-11-12,18.83
2015-11-13,20.52
2015-11-14,21.25
2015-11-15,21.58
2015-11-16,21.14
2015-11-17,21.51
2015-11-18,21.13
2015-11-19,19.8
2015-11-20,18.24
2015-11-21,17.69
2015-11-22,18.35
2015-11-23,17.41
2015-11-24,17.47
2015-11-25,18.85
2015-11-26,15.49
2015-11-27,9.56
2015-11-28,9.07
2015-11-29,13.57
2015-11-30,18.8
2015-12-01,19.54
2015-12-02,17.94
2015-12-03,14.08
2015-12-04,17.67
2015-12-05,15.08
2015-12-06,14.93
2015-12-07,15.44
2015-12-08,13.32
