time,tasmax
2015-01-01,9.88
2015-01-02,10.34
2015-01-03,10.21
2015-01-04,10.09
2015-01-05,7.93
2015-01-06,8.57
2015-01-07,7.03
2015-01-08,7.82
2015-01-09,8.34
2015-01-10,9.25
2015-01-11,9.53
2015-01-12,7.99
2015-01-13,7.89
2015-01-14,7.98
2015-01-15,8.57
2015-01-16,7.47
2015-01-17,9.05
2015-01-18,10.7
2015-01-19,9.55
2015-01-20,9.48
2015-01-21,10.09
2015-01-22,11.57
2015-01-23,11.45
2015-01-24,12.93
2015-01-25,10.06
2015-01-26,10.94
2015-01-27,12.13
2015-01-28,9.88
2015-01-29,7.71
2015-01-30,7.85
2015-01-31,8.45
2015-02-01,6.89
2015-02-02,5.64
2015-02-03,8.46
2015-02-04,8.49
2015-02-05,9.04
2015-02-06,8.66
2015-02-07,9.25
2015-02-08,7.43
2015-02-09,9.37
2015-02-10,10.27
2015-02-11,9.27
2015-02-12,11.97
2015-02-13,12.27
2015-02-14,11.76
2015-02-15,11.65
2015-02-16,11.76
2015-02-17,10.24
2015-02-18,11.26
2015-02-19,9.32
2015-02-20,8.55
2015-02-21,10.84
2015-02-22,10.31
2015-02-23,8.54
2015-02-24,8.64
2015-02-25,4.8
2015-02-26,8.51
2015-02-27,8.2
2015-02-28,9.16
2015-03-01,9.77
2015-03-02,9.19
2015-03-03,8.65
2015-03-04,10.95
2015-03-05,10.66
2015-03-06,11.28
2015-03-07,14.31
2015-03-08,15.28
2015-03-09,15.25
2015-03-10,13.3
2015-03-11,13.01
2015-03-12,11.68
2015-03-13,10.02
2015-03-14,10.47
2015-03-15,11.24
2015-03-16,13.16
2015-03-17,11.33
2015-03-18,10.34
2015-03-19,10.89
2015-03-20,11.24
2015-03-21,16.56
2015-03-22,11.99
2015-03-23,11.24
2015-03-24,9.69
2015-03-25,12.61
2015-03-26,12.82
2015-03-27,16.36
2015-03-28,20.95
2015-03-29,22.01
2015-03-30,23.21
2015-03-31,15.75
2015-04-01,15.57
2015-04-02,17.8
2015-04-03,17.69
2015-04-04,22.86
2015-04-05,16.85
2015-04-06,13.11
2015-04-07,16.51
2015-04-08,20.75
2015-04-09,14.02
2015-04-10,12.78
2015-04-11,12.36
2015-04-12,13.92
2015-04-13,19.56
2015-04-14,19.33
2015-04-15,18.81
2015-04-16,15.39
2015-04-17,16.23
2015-04-18,17.07
2015-04-19,18.47
2015-04-20,17.55
2015-04-21,14.17
2015-04-22,16.94
2015-04-23,15.33
2015-04-24,14.11
2015-04-25,12.23
2015-04-26,12.21
2015-04-27,12.74
2015-04-28,13.6
2015-04-29,17.56
2015-04-30,21.04
2015-05-01,23.67
2015-05-02,22.53
2015-05-03,18.39
2015-05-04,21.54
2015-05-05,23.41
2015-05-06,25.85
2015-05-07,25.23
2015-05-08,18.94
2015-05-09,22.34
2015-05-10,24.4
2015-05-11,24.62
2015-05-12,17.36
2015-05-13,14.9
2015-05-14,19.96
2015-05-15,29.03
2015-05-16,27.23
2015-05-17,17.17
2015-05-18,17.7
2015-05-19,16.59
2015-05-20,15.64
2015-05-21,18.3
2015-05-22,18.51
2015-05-23,18.38
2015-05-24,22.24
