time,tasmax
2015-01-01,8.61
2015-01-02,6.75
2015-01-03,6.17
2015-01-04,6.11
2015-01-05,8.32
2015-01-06,9.33
2015-01-07,7.02
2015-01-08,8.38
2015-01-09,9.86
2015-01-10,9.06
2015-01-11,7.58
2015-01-12,8.1
2015-01-13,8.07
2015-01-14,9.03
2015-01-15,10.23
2015-01-16,8.21
2015-01-17,9.01
2015-01-18,7.61
2015-01-19,4.0
2015-01-20,3.48
2015-01-21,7.69
2015-01-22,10.38
2015-01-23,11.09
2015-01-24,9.13
2015-01-25,9.58
2015-01-26,11.34
2015-01-27,11.47
2015-01-28,9.48
2015-01-29,5.81
2015-01-30,6.48
2015-01-31,10.69
2015-02-01,8.62
2015-02-02,5.61
2015-02-03,8.83
2015-02-04,8.9
2015-02-05,6.36
2015-02-06,6.39
2015-02-07,5.21
2015-02-08,4.98
2015-02-09,5.61
2015-02-10,7.03
2015-02-11,8.91
2015-02-12,9.85
2015-02-13,6.67
2015-02-14,7.07
2015-02-15,8.21
2015-02-16,8.78
2015-02-17,9.92
2015-02-18,8.14
2015-02-19,5.93
2015-02-20,4.47
2015-02-21,4.83
2015-02-22,3.85
2015-02-23,5.89
2015-02-24,9.22
2015-02-25,7.9
2015-02-26,7.68
2015-02-27,5.33
2015-02-28,5.92
2015-03-01,5.37
2015-03-02,6.05
2015-03-03,7.02
2015-03-04,5.47
2015-03-05,5.06
2015-03-06,7.45
2015-03-07,7.34
2015-03-08,8.45
2015-03-09,4.41
2015-03-10,3.29
2015-03-11,3.71
2015-03-12,2.8
2015-03-13,5.6
2015-03-14,7.01
2015-03-15,6.59
2015-03-16,7.9
2015-03-17,8.32
2015-03-18,8.87
2015-03-19,10.22
2015-03-20,7.97
2015-03-21,7.72
2015-03-22,4.71
2015-03-23,8.96
2015-03-24,8.16
2015-03-25,6.75
2015-03-26,6.02
2015-03-27,8.27
2015-03-28,9.87
2015-03-29,5.93
2015-03-30,6.74
2015-03-31,6.43
2015-04-01,6.28
2015-04-02,5.8
2015-04-03,6.5
2015-04-04,8.18
2015-04-05,7.55
2015-04-06,5.97
2015-04-07,6.3
2015-04-08,6.12
2015-04-09,6.86
2015-04-10,8.55
2015-04-11,9.24
2015-04-12,9.08
2015-04-13,5.97
2015-04-14,7.51
2015-04-15,13.85
2015-04-16,14.25
2015-04-17,8.38
2015-04-18,3.95
2015-04-19,4.12
2015-04-20,8.93
2015-04-21,7.11
2015-04-22,7.46
2015-04-23,8.15
2015-04-24,8.4
2015-04-25,9.17
2015-04-26,10.09
