time,tasmax
2015-01-01,9.38
2015-01-02,13.41
2015-01-03,12.49
2015-01-04,11.15
2015-01-05,5.8
2015-01-06,1.25
2015-01-07,3.41
2015-01-08,4.78
2015-01-09,5.16
2015-01-10,9.9
2015-01-11,11.17
2015-01-12,10.1
2015-01-13,7.12
2015-01-14,8.75
2015-01-15,13.11
2015-01-16,14.11
2015-01-17,7.27
2015-01-18,7.46
2015-01-19,14.23
2015-01-20,15.41
2015-01-21,15.07
2015-01-22,17.19
2015-01-23,16.13
2015-01-24,14.19
2015-01-25,16.95
2015-01-26,12.9
2015-01-27,11.99
2015-01-28,12.22
2015-01-29,6.81
2015-01-30,3.89
2015-01-31,6.22
2015-02-01,6.67
2015-02-02,9.26
2015-02-03,12.66
2015-02-04,16.25
2015-02-05,17.01
2015-02-06,15.2
2015-02-07,15.4
2015-02-08,13.46
2015-02-09,16.03
2015-02-10,16.56
2015-02-11,11.75
2015-02-12,15.39
2015-02-13,16.22
2015-02-14,13.51
2015-02-15,13.49
2015-02-16,12.21
2015-02-17,12.92
2015-02-18,9.92
2015-02-19,9.87
2015-02-20,13.17
2015-02-21,15.01
2015-02-22,16.6
2015-02-23,15.04
2015-02-24,14.76
2015-02-25,17.15
2015-02-26,14.21
2015-02-27,14.95
2015-02-28,15.41
2015-03-01,14.31
2015-03-02,12.53
2015-03-03,14.83
2015-03-04,16.7
2015-03-05,22.31
2015-03-06,14.29
2015-03-07,15.16
2015-03-08,22.46
2015-03-09,22.2
2015-03-10,17.64
2015-03-11,19.42
2015-03-12,19.17
2015-03-13,20.67
2015-03-14,19.43
2015-03-15,17.2
2015-03-16,13.25
2015-03-17,13.51
2015-03-18,12.81
2015-03-19,13.33
2015-03-20,12.55
2015-03-21,14.35
2015-03-22,13.34
2015-03-23,14.4
2015-03-24,13.34
2015-03-25,8.94
2015-03-26,8.94
2015-03-27,10.96
2015-03-28,11.56
2015-03-29,15.44
2015-03-30,18.45
2015-03-31,17.01
2015-04-01,20.26
2015-04-02,23.65
2015-04-03,22.58
2015-04-04,21.63
2015-04-05,20.77
2015-04-06,18.66
2015-04-07,22.93
2015-04-08,14.64
2015-04-09,12.92
2015-04-10,9.81
2015-04-11,10.7
2015-04-12,10.62
2015-04-13,11.18
2015-04-14,10.65
2015-04-15,13.33
2015-04-16,18.55
2015-04-17,21.99
2015-04-18,20.09
2015-04-19,16.13
2015-04-20,16.72
2015-04-21,18.34
2015-04-22,20.86
2015-04-23,21.79
2015-04-24,26.81
2015-04-25,27.21
2015-04-26,17.85
2015-04-27,17.38
2015-04-28,19.19
2015-04-29,16.88
2015-04-30,16.36
2015-05-01,14.16
2015-05-02,11.83
2015-05-03,14.49
2015-05-04,13.27
2015-05-05,14.34
2015-05-06,13.09
2015-05-07,16.16
2015-05-08,14.39
2015-05-09,19.06
2015-05-10,13.89
2015-05-11,16.69
2015-05-12,15.36
2015-05-13,16.48
2015-05-14,14.94
2015-05-15,13.55
2015-05-16,16.75
2015-05-17,17.73
2015-05-18,15.87
2015-05-19,18.38
2015-05-20,16.42
2015-05-21,16.74
2015-05-22,18.24
2015-05-23,23.95
2015-05-24,30.28
2015-05-25,27.73
2015-05-26,20.67
2015-05-27,17.32
2015-05-28,18.42
2015-05-29,18.78
2015-05-30,20.02
2015-05-31,21.57
2015-06-01,20.8
2015-06-02,17.86
2015-06-03,13.97
2015-06-04,19.16
2015-06-05,21.19
2015-06-06,17.58
2015-06-07,16.61
2015-06-08,16.64
2015-06-09,14.58
2015-06-10,21.42
2015-06-11,23.32
2015-06-12,26.04
2015-06-13,25.67
2015-06-14,34.73
2015-06-15,30.27
2015-06-16,26.75
2015-06-17,24.45
2015-06-18,20.22
2015-06-19,24.63
2015-06-20,24.46
2015-06-21,24.42
2015-06-22,26.15
2015-06-23,27.5
2015-06-24,28.6
2015-06-25,31.92
2015-06-26,33.2
2015-06-27,26.02
2015-06-28,20.33
2015-06-29,21.9
2015-06-30,25.63
2015-07-01,27.45
2015-07-02,29.07
2015-07-03,25.35
2015-07-04,24.86
2015-07-05,26.24
2015-07-06,26.83
2015-07-07,21.45
2015-07-08,21.42
2015-07-09,26.05
2015-07-10,27.41
2015-07-11,29.62
2015-07-12,31.2
2015-07-13,32.19
2015-07-14,28.45
2015-07-15,27.23
2015-07-16,31.03
2015-07-17,36.23
2015-07-18,33.17
2015-07-19,31.65
2015-07-20,31.03
2015-07-21,35.86
2015-07-22,37.14
2015-07-23,35.91
2015-07-24,36.83
2015-07-25,37.4
2015-07-26,40.03
2015-07-27,39.81
2015-07-28,40.46
2015-07-29,40.93
2015-07-30,35.23
2015-07-31,35.03
2015-08-01,32.13
2015-08-02,33.52
2015-08-03,35.47
2015-08-04,34.16
2015-08-05,32.64
2015-08-06,28.94
2015-08-07,35.97
2015-08-08,34.28
2015-08-09,39.79
2015-08-10,40.51
2015-08-11,35.56
2015-08-12,37.75
2015-08-13,39.82
2015-08-14,39.52
2015-08-15,38.94
2015-08-16,40.41
2015-08-17,38.42
2015-08-18,38.04
2015-08-19,38.3
2015-08-20,39.47
2015-08-21,40.17
2015-08-22,39.32
2015-08-23,35.44
2015-08-24,27.96
2015-08-25,24.0
2015-08-26,25.76
2015-08-27,23.22
2015-08-28,29.27
2015-08-29,33.34
2015-08-30,35.37
2015-08-31,30.53
2015-09-01,23.65
2015-09-02,27.36
2015-09-03,31.38
2015-09-04,34.11
2015-09-05,29.23
2015-09-06,29.75
2015-09-07,32.64
2015-09-08,36.74
2015-09-09,37.31
2015-09-10,35.95
2015-09-11,34.75
2015-09-12,33.87
2015-09-13,21.95
2015-09-14,19.98
2015-09-15,21.76
2015-09-16,23.16
2015-09-17,20.21
2015-09-18,21.58
2015-09-19,23.94
2015-09-20,21.38
2015-09-21,25.14
2015-09-22,28.4
2015-09-23,29.98
2015-09-24,29.45
2015-09-25,30.87
2015-09-26,28.45
2015-09-27,32.35
2015-09-28,31.8
2015-09-29,26.42
2015-09-30,27.17
2015-10-01,23.42
2015-10-02,22.03
2015-10-03,23.98
2015-10-04,23.41
2015-10-05,23.0
2015-10-06,19.32
2015-10-07,23.74
2015-10-08,25.24
2015-10-09,31.19
2015-10-10,29.18
2015-10-11,27.77
2015-10-12,26.32
2015-10-13,27.86
2015-10-14,27.16
2015-10-15,25.61
2015-10-16,20.76
2015-10-17,18.43
2015-10-18,18.12
2015-10-19,18.59
2015-10-20,22.43
2015-10-21,22.05
2015-10-22,20.9
2015-10-23,22.85
2015-10-24,19.82
2015-10-25,14.87
2015-10-26,14.03
2015-10-27,16.19
2015-10-28,17.75
2015-10-29,15.6
2015-10-30,11.52
2015-10-31,13.39
2015-11-01,16.42
2015-11-02,15.04
2015-11-03,16.72
2015-11-04,17.57
2015-11-05,13.82
2015-11-06,12.99
2015-11-07,13.58
2015-11-08,14.33
2015-11-09,15.76
2015-11-10,14.39
2015-11-11,15.92
2015-11-12,14.78
2015-11-13,14.11
2015-11-14,11.06
2015-11-15,6.11
2015-11-16,11.05
2015-11-17,16.42
2015-11-18,17.96
2015-11-19,16.26
2015-11-20,15.62
2015-11-21,15.44
2015-11-22,15.0
2015-11-23,13.8
2015-11-24,10.36
2015-11-25,12.41
2015-11-26,11.65
2015-11-27,8.83
2015-11-28,8.21
2015-11-29,5.8
2015-11-30,2.47
2015-12-01,3.03
2015-12-02,3.23
2015-12-03,2.43
2015-12-04,4.9
2015-12-05,4.66
2015-12-06,8.47
2015-12-07,7.02
2015-12-08,7.34
2015-12-09,9.39
2015-12-10,11.54
2015-12-11,11.87
2015-12-12,12.97
2015-12-13,14.42
2015-12-14,12.97
2015-12-15,10.18
2015-12-16,9.76
2015-12-17,9.64
2015-12-18,12.24
2015-12-19,10.66
2015-12-20,11.02
2015-12-21,12.48
2015-12-22,7.65
2015-12-23,9.67
2015-12-24,7.0
2015-12-25,3.5
2015-12-26,2.59
2015-12-27,3.44
2015-12-28,2.13
2015-12-29,8.2
2015-12-30,5.49
2015-12-31,1.66
2016-01-01,3.03
2016-01-02,2.69
2016-01-03,1.34
2016-01-04,1.46
2016-01-05,3.64
2016-01-06,7.34
2016-01-07,8.82
2016-01-08,10.93
2016-01-09,11.37
2016-01-10,10.1
2016-01-11,11.63
2016-01-12,8.44
2016-01-13,7.55
2016-01-14,10.12
2016-01-15,11.98
